質問項目,性別,年齢,年代,職業,職種,従業員数（民間企業）,居住地,居住地（7区分）,勤務地,勤務地（7区分）,1.あなたの職場では、ポジションごとに求められる役割や、その役割の遂行に当たり必要な知識・スキルが明確に示されている。,2.あなたは、現在従事するポジションに求められる役割の遂行に当たり必要な知識・スキルを習得するために、トレーニングの機会を与えられるなど、組織から十分なサポートを受けている。,3.あなたが公務組織（民間企業）で身に付けた知識・スキルは、民間企業（公務組織）でも活かせると思う。,4.あなたは、リスキリング（新しい仕事をするために学ぶこと、職業能力の再開発・再教育）に関心がある。,5.あなたは、業務に関する知識・スキルの保有状況を組織内で共有・公開したいと思う。（その情報は、例えば人事異動の検討などに活用することが想定されます。）,6.あなたは、業務と関係のない特技や趣味といった、業務外でのあなた自身のことを深く知ることにつながる情報を組織内で共有・公開したいと思う。（組織内でのコミュニケーション活性化に活用することが想定されます。）,7.あなたは、将来、どのような職務に従事したいか、そのために今からどのようなキャリアを歩みたいかについて、具体的に考えている。,8.あなたは、自分自身のキャリアやスキルアップのための自己研鑽（業務として行うものではないもの）に取り組んでいますか。,9.あなたの職場では、自分自身のキャリア（例えば将来歩みたいキャリアパスなど）について上司や人事担当者などに気軽に相談できる機会や仕組みがある。,10.あなたは、選べるとしたら、１つの部署に長年在籍して特定の専門分野を極めたいですか。それとも、様々な部署を経験し、その組織全体の総合的な知識を身に付けたいですか。,11.次の８つの選択肢のうち、「働くうえで、自分にとって最も重要と感じること」を１つ選択してください。,12.あなたは、「転職」や「人材の流動化」について、ポジティブとネガティブのどちらの印象をより強くお持ちですか。,13.あなた自身は、今後、転職することを考えていますか。,14.あなたは、民間企業（各府省庁（国家公務員））への転職に関心がある。,15.あなたは、あなたの所属する組織のミッション・ビジョン・バリューやパーパスに共感している。,16.あなたは、仕事を進めるにあたり十分な裁量を与えられている。,17.あなたは、いまの職場の仕事に熱中することができている。,18.あなたは、これまでの自分自身の人事異動に納得している。,19.あなたの職場では、業務効率化の取組みが積極的に行われている。,20.あなたの職場では、適切な人員配置が行われている。,21.あなたは、上司や人事担当者には、従業員（職員）一人一人のキャリア志向、成した成果などについて、もっと丁寧に向き合ってほしいと思う。,22.あなたは、これまでの自分自身に対する人事評価に納得している。,23.あなたの職場では、従業員（職員）を大切にする風土がある。,24.あなたの職場では、何事も気軽に相談できる雰囲気がある。,25.あなたは、現在の勤務時間や勤務場所に不都合を感じることはない（状況に合わせた柔軟な働き方ができている）。,26.あなたは、いまの職場で働くことに満足している。,27.あなたは、現在の職場を親しい友人や知人に勧めたいと思う。,28.従業員（職員）の満足度ややりがいを高める目的で、人事部門があなたの個人情報の提供を求めたり、実際に収集し分析したりすることに抵抗はない。
回答者250,1,26,2,1,4,2,16,4,16,4,3,3,3,4,3,5,5,4,5,3,1,4,5,5,7,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者251,1,28,2,1,4,2,23,4,23,4,2,1,2,2,3,2,4,3,2,4,2,2,4,4,2,3,3,3,1,2,3,2,3,4,2,4,2,2
回答者252,1,29,2,1,1,5,23,4,23,4,3,2,3,3,3,3,2,3,4,3,5,3,4,4,3,3,3,3,4,3,4,3,3,3,2,2,3,3
回答者253,2,27,2,1,1,1,23,4,23,4,3,2,2,4,3,3,3,4,4,3,4,3,5,4,4,3,2,3,3,2,4,3,3,2,4,3,3,2
回答者254,2,29,2,1,1,1,23,4,23,4,3,3,4,4,3,3,3,3,4,2,1,2,3,4,6,4,4,3,3,3,3,4,4,4,4,5,5,3
回答者255,2,25,2,1,2,1,23,4,23,4,2,2,2,2,2,2,3,3,4,2,2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者256,2,28,2,1,1,2,24,4,24,4,3,5,5,5,3,5,5,4,5,4,4,2,3,4,7,5,5,5,5,3,2,4,4,4,2,5,5,3
回答者257,2,28,2,1,1,3,23,4,23,4,3,4,2,2,3,2,3,4,3,4,8,2,3,3,3,2,4,4,3,1,3,4,3,3,2,3,2,2
回答者258,1,32,3,1,2,5,22,4,22,4,3,3,3,3,3,3,3,4,3,3,4,2,5,3,3,3,4,3,3,2,3,4,3,4,3,4,3,3
回答者259,1,34,3,1,4,2,22,4,22,4,2,2,2,2,2,2,2,3,2,2,3,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者260,2,32,3,1,1,2,23,4,23,4,2,5,1,1,2,2,2,3,2,3,8,1,2,2,3,2,2,4,2,3,2,3,1,2,1,2,3,1
回答者261,1,31,3,1,4,5,24,4,24,4,5,5,5,5,5,5,3,4,5,5,8,5,5,5,7,4,3,4,3,4,3,2,3,4,3,3,3,3
回答者262,2,32,3,1,5,5,23,4,23,4,2,2,2,3,3,2,3,1,3,1,4,2,4,4,6,2,2,2,2,2,2,2,2,3,3,2,4,3
回答者263,2,33,3,1,3,2,23,4,23,4,1,1,3,2,4,2,2,2,2,2,3,2,3,2,2,1,2,2,3,5,4,3,2,2,3,3,3,1
回答者264,1,33,3,1,1,5,23,4,23,4,4,4,4,3,4,4,3,2,4,4,1,2,3,4,3,3,3,3,4,4,4,4,3,3,3,3,4,4
回答者265,2,34,3,1,1,2,20,4,20,4,2,3,3,2,3,3,3,4,4,4,3,3,5,5,7,2,3,3,2,3,3,3,3,3,3,2,3,3
回答者266,1,32,3,1,4,2,23,4,23,4,3,3,3,3,4,3,3,4,3,3,2,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
回答者267,1,30,3,1,4,3,17,4,17,4,4,4,3,3,4,3,3,4,3,3,8,3,5,3,6,3,3,3,3,3,3,4,3,3,3,3,3,3
回答者268,1,36,4,1,1,1,24,4,24,4,2,2,2,2,2,2,2,1,2,2,2,2,5,5,7,2,2,2,2,2,2,2,2,2,3,2,2,2
回答者269,1,38,4,1,1,5,22,4,22,4,2,3,2,2,2,2,2,2,3,2,8,2,1,2,3,3,3,2,3,3,1,3,3,3,2,3,4,2
回答者270,2,35,4,1,1,4,19,4,19,4,1,2,3,2,2,1,3,2,2,2,2,2,2,2,2,2,3,3,2,2,1,2,3,3,2,1,1,2
回答者271,2,39,4,1,4,1,15,4,15,4,2,2,2,2,2,2,4,4,5,5,8,2,4,4,7,3,2,3,2,2,2,3,3,2,3,3,3,3
回答者272,1,38,4,1,1,2,21,4,21,4,1,2,2,1,1,1,2,2,4,2,4,2,3,1,6,4,4,5,3,2,3,5,3,3,2,5,5,4
回答者273,2,35,4,1,1,1,20,4,8,2,5,5,5,5,4,4,1,3,3,4,3,4,4,5,3,3,4,4,3,3,3,3,3,3,2,2,1,2
回答者274,1,39,4,1,1,5,23,4,23,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
回答者275,1,39,4,1,1,5,23,4,23,4,4,4,4,5,4,4,2,2,2,2,4,2,3,4,3,2,2,2,1,2,2,2,3,2,2,2,2,3
回答者276,2,36,4,1,1,2,23,4,23,4,2,2,3,2,2,2,2,1,2,2,4,3,5,5,2,2,2,2,2,2,2,2,2,2,2,2,3,2
回答者277,2,35,4,1,2,1,21,4,21,4,2,3,2,4,3,4,4,4,3,3,4,2,3,4,7,3,3,3,3,3,3,4,4,3,3,3,4,3
回答者278,2,35,4,1,1,3,23,4,23,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,3,3,3,3,2,2,2,2,3
回答者279,2,40,5,1,1,2,17,4,17,4,2,2,3,4,3,3,5,4,2,1,1,4,5,3,2,3,3,3,2,2,3,2,2,3,3,3,3,2
回答者280,2,40,5,1,1,1,23,4,23,4,4,3,3,3,3,3,2,2,2,2,4,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3
回答者281,2,43,5,1,2,2,23,4,23,4,2,2,3,3,3,3,1,1,2,1,1,3,5,5,2,1,1,1,3,3,5,1,1,1,4,1,2,1
回答者282,1,41,5,1,1,3,23,4,23,4,2,2,3,3,3,3,3,3,4,2,3,3,4,3,4,2,3,4,3,2,3,4,4,4,4,4,4,4
回答者283,2,43,5,1,2,2,22,4,22,4,3,4,4,2,2,5,5,4,5,3,4,4,3,4,5,5,5,5,2,5,5,5,4,3,5,5,5,5
回答者284,1,44,5,1,4,1,22,4,22,4,2,2,5,3,2,2,2,4,2,1,1,3,5,5,6,3,2,2,3,2,3,3,2,2,3,1,3,3
回答者285,1,44,5,1,1,5,23,4,23,4,3,2,4,4,3,4,3,3,2,4,8,2,4,4,2,2,3,2,2,2,2,2,2,2,2,2,2,3
回答者286,2,41,5,1,1,5,17,4,17,4,4,4,3,4,4,4,3,4,4,3,4,5,5,5,4,4,4,4,3,3,3,3,4,3,3,4,4,3
回答者287,2,46,6,1,1,5,16,4,16,4,3,3,3,3,3,3,5,4,5,5,4,3,4,5,6,3,3,5,3,4,4,4,4,4,4,5,5,4
回答者288,2,47,6,1,1,4,22,4,22,4,1,2,1,2,1,2,4,1,3,2,3,4,5,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2
回答者289,2,49,6,1,1,2,19,4,19,4,2,3,3,3,3,3,3,3,3,1,1,1,5,3,3,2,2,3,3,3,3,3,3,3,3,2,3,3
回答者290,2,47,6,1,2,2,23,4,23,4,2,2,2,2,2,2,2,3,2,4,8,2,4,2,2,3,3,3,3,3,3,2,4,3,3,4,3,3
回答者291,1,47,6,1,3,2,20,4,20,4,4,5,3,1,3,5,3,2,5,2,4,1,3,2,7,5,2,4,5,5,1,4,5,5,4,3,5,3
回答者292,2,47,6,1,1,3,23,4,23,4,2,3,4,3,3,3,5,3,5,3,4,2,5,3,6,2,2,2,2,2,3,3,2,2,2,2,2,5
回答者293,1,48,6,1,1,4,23,4,23,4,3,3,5,5,5,5,5,4,5,5,4,5,5,3,3,1,5,5,5,5,5,5,5,5,1,3,5,5
回答者294,1,45,6,1,1,4,23,4,23,4,5,4,3,4,4,5,1,1,1,2,2,2,2,2,1,5,4,2,1,3,4,3,2,1,4,3,3,4
回答者295,1,49,6,1,1,5,23,4,23,4,3,3,3,3,3,2,4,3,4,4,5,4,5,5,4,3,3,3,3,3,3,3,2,3,3,3,3,3
回答者296,1,49,6,1,1,2,16,4,16,4,3,2,3,3,2,3,2,2,2,2,3,1,2,1,2,1,2,3,1,2,2,3,3,2,2,3,4,3
回答者297,1,52,7,1,1,3,20,4,20,4,1,5,3,1,1,1,1,1,2,3,6,3,4,5,3,3,3,4,3,3,1,3,1,1,3,3,3,2
回答者298,2,51,7,1,1,5,18,4,18,4,1,3,4,4,2,5,5,1,4,3,4,4,1,2,3,2,5,3,4,5,3,2,2,4,4,5,5,5
回答者299,2,54,7,1,2,2,15,4,15,4,3,3,3,3,3,3,1,4,3,1,1,3,4,5,3,3,5,3,3,3,3,3,3,3,1,5,5,3
回答者300,1,50,7,1,3,4,21,4,21,4,3,2,3,2,3,3,3,3,3,2,4,3,4,3,2,2,2,3,1,3,2,3,3,2,3,4,2,1
回答者301,1,53,7,1,3,4,22,4,22,4,5,5,5,5,5,5,2,2,4,3,4,2,2,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者302,2,52,7,1,1,1,23,4,23,4,5,5,5,5,5,5,5,4,5,5,8,5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5
回答者303,1,51,7,1,1,2,22,4,22,4,2,3,1,3,3,4,3,1,4,4,4,1,1,1,4,5,5,3,5,5,1,4,5,5,5,5,5,5
回答者304,2,52,7,1,1,1,22,4,22,4,3,4,5,4,4,4,4,4,4,3,2,2,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者305,1,54,7,1,1,5,23,4,23,4,2,3,3,3,2,3,3,4,3,5,4,5,5,5,3,4,3,4,2,3,3,3,3,3,3,3,2,2
回答者306,2,57,8,1,1,2,15,4,15,4,4,3,3,3,3,3,4,3,3,3,4,3,4,5,7,2,3,3,3,3,3,3,3,3,3,3,3,3
回答者307,2,57,8,1,1,1,15,4,15,4,4,5,5,5,5,5,5,4,5,4,8,4,5,5,7,2,3,1,3,2,4,2,2,3,2,1,3,5
回答者308,1,58,8,1,4,4,17,4,17,4,4,4,4,3,4,3,5,4,4,3,4,3,5,5,6,3,2,3,3,3,4,3,3,3,3,4,3,2
回答者309,2,55,8,1,1,3,21,4,21,4,3,4,5,5,5,5,5,4,5,3,8,3,4,5,3,2,3,2,4,4,4,3,4,3,1,3,5,3
回答者310,1,57,8,1,2,2,23,4,21,4,2,4,4,2,2,5,2,3,2,2,2,1,5,5,4,1,2,3,2,2,3,3,2,2,3,2,3,2
回答者311,2,55,8,1,1,1,24,4,24,4,2,3,3,3,2,3,3,4,5,2,6,3,5,5,6,4,2,3,3,3,3,3,3,4,4,3,4,4
回答者312,2,57,8,1,1,1,22,4,22,4,2,2,2,3,2,2,2,2,2,3,4,2,1,2,2,2,3,3,2,3,3,3,3,3,3,3,4,2
回答者313,2,56,8,1,4,1,22,4,22,4,4,4,5,5,5,5,4,4,4,3,4,2,3,4,4,2,1,3,1,2,1,2,2,4,4,2,4,2
回答者314,1,63,9,1,1,2,15,4,15,4,2,3,3,4,2,3,4,4,3,4,8,2,5,3,1,2,2,3,3,4,2,3,3,4,1,4,4,2
回答者315,2,62,9,1,1,1,20,4,20,4,4,4,4,4,4,4,4,4,5,4,8,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4
回答者316,1,60,9,1,1,3,23,4,23,4,3,3,3,3,3,3,3,4,4,3,4,3,4,4,5,2,3,3,3,3,3,3,3,3,3,3,3,3
回答者317,2,61,9,1,2,2,22,4,22,4,1,4,5,3,1,5,4,1,5,2,1,2,5,5,7,1,1,3,3,2,1,3,5,5,1,1,4,3
回答者318,1,61,9,1,1,5,23,4,22,4,3,3,3,3,3,4,5,4,5,5,8,4,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,4
回答者319,2,65,9,1,2,1,23,4,23,4,2,2,4,2,2,3,3,2,3,2,2,2,2,3,3,2,2,2,3,2,2,2,2,3,2,3,3,3
回答者320,2,60,9,1,1,4,23,4,23,4,2,2,2,2,3,2,3,2,1,2,1,1,5,2,2,2,2,3,2,2,2,3,3,2,2,2,2,2
回答者321,1,60,9,1,1,5,22,4,22,4,3,4,2,3,4,4,4,4,3,2,1,2,5,4,4,2,4,2,3,4,3,3,4,3,3,4,5,3
回答者322,2,61,9,1,2,2,15,4,15,4,1,2,3,4,2,5,5,4,3,1,2,3,5,5,7,2,2,2,3,2,3,2,2,2,2,2,3,2
回答者323,2,63,9,1,1,5,23,4,23,4,5,5,5,5,5,5,5,4,5,3,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者324,1,24,1,1,3,3,27,5,27,5,3,3,2,2,2,3,3,2,3,4,4,1,5,5,5,3,3,2,3,2,2,3,3,2,3,3,2,3
回答者325,1,23,1,1,2,2,26,5,26,5,2,2,3,3,2,3,2,2,3,2,2,2,3,2,2,3,2,3,3,3,2,3,3,2,3,3,3,2
回答者326,1,23,1,1,4,2,27,5,27,5,3,2,4,3,3,3,5,4,5,2,8,3,5,3,6,2,2,1,3,2,3,3,3,2,3,2,3,3
回答者327,2,22,1,1,1,3,29,5,29,5,2,2,3,2,3,4,2,2,2,4,4,1,3,1,6,2,2,4,2,4,2,5,2,2,3,2,2,4
回答者328,2,24,1,1,1,4,27,5,27,5,2,3,2,2,1,1,1,1,1,2,2,1,3,1,1,1,1,2,3,1,1,2,2,1,1,3,2,3
回答者329,1,24,1,1,4,4,28,5,28,5,2,2,3,2,3,2,1,3,2,4,1,1,4,2,2,3,2,2,3,3,2,3,3,2,2,3,2,3
回答者330,2,24,1,1,1,5,27,5,27,5,2,2,3,2,2,3,3,3,2,2,8,2,3,4,3,2,4,4,2,3,3,3,3,2,4,4,3,3
回答者331,2,24,1,1,2,3,28,5,28,5,2,2,1,2,2,2,4,2,2,1,8,2,3,5,6,2,2,2,1,4,1,2,4,3,2,2,4,4
回答者332,1,23,1,1,1,3,26,5,26,5,2,1,2,2,2,2,1,1,1,2,2,2,1,1,1,2,1,1,1,2,2,2,1,1,1,1,2,2
回答者333,1,23,1,1,1,5,30,5,30,5,1,1,3,1,2,4,1,2,2,1,2,1,2,2,1,3,1,2,3,1,2,4,2,2,5,2,2,2
回答者334,2,24,1,1,2,5,27,5,27,5,3,3,4,4,3,3,2,1,2,2,2,2,5,5,2,3,3,3,3,4,3,2,2,2,2,2,2,2
回答者335,2,22,1,1,1,3,27,5,27,5,1,2,2,3,1,2,1,3,1,1,2,1,3,1,1,2,1,1,1,2,2,1,1,2,1,2,1,2
回答者336,2,24,1,1,1,2,27,5,27,5,4,4,4,2,2,3,2,1,4,4,8,3,3,4,3,3,3,5,4,3,1,3,3,3,4,3,3,3
回答者337,1,28,2,1,1,2,27,5,27,5,2,2,1,2,2,3,2,2,2,2,2,2,3,3,3,3,1,2,3,3,2,3,2,4,3,1,2,2
回答者338,1,25,2,1,1,5,28,5,28,5,3,2,4,2,4,3,3,3,2,2,3,3,3,2,2,5,2,2,3,4,4,2,2,4,4,4,2,3
回答者339,1,27,2,1,4,2,27,5,27,5,2,5,3,5,5,5,3,4,5,3,4,3,3,5,5,3,3,3,3,3,3,4,3,3,3,4,4,3
回答者340,2,26,2,1,1,2,28,5,28,5,4,4,4,4,4,4,4,3,5,3,4,4,4,4,4,4,2,3,4,5,5,2,4,4,4,3,5,4
回答者341,2,29,2,1,1,2,28,5,28,5,2,3,4,3,3,3,2,1,3,3,4,4,3,4,3,3,2,2,3,3,2,2,3,3,4,3,3,3
回答者342,2,25,2,1,2,4,27,5,27,5,2,2,1,2,2,2,3,1,2,2,1,3,4,3,2,3,2,2,5,2,2,3,2,2,2,2,2,2
回答者343,1,25,2,1,1,3,28,5,28,5,3,3,4,4,4,3,3,4,3,3,4,2,5,5,3,3,3,3,3,3,3,3,3,4,3,4,4,3
回答者344,1,26,2,1,5,1,28,5,28,5,4,5,3,3,3,3,2,3,2,5,8,1,1,3,3,5,5,5,5,5,4,5,5,5,5,5,3,3
回答者345,1,29,2,1,1,1,27,5,27,5,2,2,2,2,1,2,2,2,2,2,1,1,5,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2
回答者346,1,34,3,1,1,3,28,5,28,5,3,2,2,3,1,2,2,2,2,2,3,2,3,2,3,2,1,3,1,2,2,3,2,2,1,2,3,2
回答者347,2,34,3,1,1,3,27,5,27,5,2,2,3,2,2,2,3,2,3,2,8,3,4,3,6,2,2,1,2,3,3,3,3,3,2,3,3,2
回答者348,1,34,3,1,1,3,28,5,27,5,3,2,4,3,2,3,2,1,4,1,1,4,5,5,4,4,3,3,3,4,3,3,4,3,3,3,3,3
回答者349,1,32,3,1,4,1,26,5,26,5,2,2,5,4,2,4,3,3,4,2,4,2,5,4,6,2,2,2,4,2,2,2,2,3,4,2,2,2
回答者350,2,31,3,1,1,3,27,5,27,5,2,2,5,4,4,3,5,4,3,1,8,2,5,5,4,2,2,2,2,2,3,2,3,3,2,3,3,3
回答者351,2,33,3,1,1,1,27,5,27,5,4,4,4,2,2,3,4,3,4,4,4,4,4,2,3,2,4,3,4,3,2,4,3,3,2,2,4,3
回答者352,2,32,3,1,1,3,27,5,27,5,4,3,4,4,4,4,5,4,5,4,8,2,3,5,7,3,4,3,3,3,3,4,4,4,4,4,4,4
回答者353,1,30,3,1,1,5,27,5,26,5,1,3,2,1,3,2,3,1,2,2,2,2,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3
回答者354,2,32,3,1,1,1,27,5,27,5,2,2,2,1,2,3,4,1,2,3,8,2,5,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2
回答者355,2,35,4,1,1,2,27,5,27,5,4,3,4,2,2,4,2,2,2,2,2,2,2,2,2,3,3,4,4,4,3,4,4,4,3,3,4,4
回答者356,1,39,4,1,1,3,27,5,27,5,1,1,1,1,2,2,2,1,2,4,1,1,2,1,2,1,1,2,1,1,1,2,1,1,2,2,2,1
回答者357,1,35,4,1,2,1,25,5,25,5,2,3,3,3,3,3,3,3,4,2,4,3,4,3,3,3,3,2,3,2,3,3,3,4,2,2,5,3
回答者358,1,37,4,1,4,2,25,5,25,5,5,5,5,5,5,5,4,4,3,3,4,3,5,5,7,2,2,3,3,3,3,3,3,3,3,3,3,3
回答者359,2,36,4,1,1,1,27,5,27,5,4,4,3,4,4,4,3,4,4,4,4,3,5,4,4,3,4,4,4,3,3,4,4,4,3,4,4,4
回答者360,2,36,4,1,1,4,27,5,27,5,4,4,4,5,4,4,3,1,5,5,6,1,1,1,7,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者361,1,39,4,1,3,5,27,5,27,5,4,2,3,3,4,2,1,3,3,2,2,2,2,2,2,1,1,2,3,3,2,1,2,2,3,2,3,4
回答者362,1,36,4,1,1,3,27,5,27,5,3,2,3,2,2,3,2,2,3,3,2,2,2,2,2,2,3,2,3,3,2,2,4,2,4,2,2,2
回答者363,1,38,4,1,4,4,28,5,28,5,2,3,5,3,3,2,2,2,4,2,4,4,2,2,5,2,2,2,3,4,3,2,4,3,4,4,4,3
回答者364,2,38,4,1,1,2,27,5,27,5,4,5,5,5,5,5,5,4,4,4,4,2,5,5,7,4,4,4,5,4,4,4,4,4,4,4,4,5
回答者365,2,43,5,1,1,1,27,5,27,5,3,3,2,5,3,4,2,3,5,5,1,1,3,1,5,3,2,1,3,3,3,3,3,2,5,3,5,5
回答者366,2,43,5,1,2,3,26,5,26,5,2,2,3,1,1,1,2,2,1,1,1,1,3,2,6,3,3,2,2,4,3,3,3,3,2,3,2,3
回答者367,1,42,5,1,1,5,28,5,28,5,3,3,2,2,3,3,3,3,2,2,4,2,5,4,1,2,2,3,2,3,2,2,3,2,2,2,2,2
回答者368,1,42,5,1,1,2,25,5,25,5,4,4,3,2,2,2,5,4,5,3,2,3,4,3,5,2,3,4,5,4,4,3,3,2,2,1,1,1
回答者369,1,43,5,1,1,5,26,5,27,5,2,2,2,2,2,2,2,1,2,1,1,2,4,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2
回答者370,2,42,5,1,1,5,27,5,27,5,3,3,3,2,2,2,2,3,2,2,4,1,3,2,2,3,3,2,2,2,2,2,2,3,3,3,3,2
回答者371,2,40,5,1,1,2,26,5,27,5,3,3,4,3,3,3,2,1,2,2,6,2,2,3,2,4,4,3,3,3,3,4,3,4,3,3,3,3
回答者372,1,45,6,1,1,3,27,5,27,5,3,3,4,3,3,3,3,4,5,3,4,3,4,4,3,4,3,3,3,4,4,3,2,3,3,4,2,3
回答者373,1,45,6,1,4,4,27,5,27,5,2,2,2,3,2,2,2,3,2,3,1,2,5,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3
回答者374,2,45,6,1,1,3,27,5,27,5,3,3,5,5,5,5,2,4,5,1,8,4,5,5,6,2,1,3,2,1,3,2,2,2,2,1,2,4
回答者375,2,48,6,1,1,3,28,5,27,5,4,2,2,2,1,4,4,3,4,1,1,1,3,1,6,2,3,2,2,2,1,2,3,3,4,2,3,2
回答者376,1,49,6,1,1,1,27,5,27,5,3,3,3,3,3,2,2,3,2,1,2,4,4,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3
回答者377,1,46,6,1,1,5,27,5,27,5,3,4,2,2,2,2,4,3,3,2,4,2,4,2,2,2,3,5,4,5,3,3,2,2,3,3,4,4
回答者378,2,46,6,1,1,4,26,5,26,5,5,5,5,5,2,5,4,4,4,4,4,4,4,5,5,4,2,4,3,3,2,3,3,3,3,4,4,3
回答者379,1,48,6,1,1,3,29,5,27,5,3,3,4,4,4,4,4,4,5,4,4,4,5,5,6,3,4,3,3,3,3,4,3,3,3,3,4,3
回答者380,1,47,6,1,4,1,26,5,26,5,2,4,4,4,4,2,4,4,5,4,4,4,4,5,6,3,4,4,4,4,2,3,4,4,4,3,4,3
回答者381,1,53,7,1,1,5,25,5,25,5,3,3,3,3,3,3,1,1,1,1,1,3,5,1,5,3,3,5,5,5,5,5,5,5,5,5,5,3
回答者382,2,52,7,1,1,1,27,5,27,5,2,5,5,2,2,5,5,4,3,1,4,5,5,5,2,2,1,1,3,1,3,2,2,2,2,1,2,5
回答者383,1,51,7,1,2,4,27,5,28,5,1,1,1,1,1,1,1,1,2,1,1,2,5,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者384,2,50,7,1,1,1,27,5,27,5,3,3,4,4,3,3,5,3,3,2,5,3,5,4,3,2,2,2,2,4,4,4,4,4,3,3,3,3
回答者385,1,50,7,1,1,2,27,5,27,5,3,3,4,4,3,3,3,3,3,4,1,2,5,5,6,2,3,3,3,4,2,4,3,3,4,3,3,3
回答者386,1,54,7,1,3,1,28,5,28,5,2,2,4,3,2,3,3,4,2,1,4,3,5,3,3,2,1,1,2,2,3,2,2,2,4,1,3,3
回答者387,1,51,7,1,1,1,27,5,27,5,2,3,2,2,2,2,3,3,4,2,4,2,4,3,2,2,2,2,3,3,2,2,3,3,3,2,2,3
回答者388,1,51,7,1,1,2,27,5,27,5,2,2,3,4,2,4,4,4,4,2,6,4,5,5,2,2,2,2,3,2,2,4,3,2,2,2,3,2
回答者389,2,56,8,1,1,5,27,5,27,5,2,1,2,2,2,3,2,1,2,2,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2
回答者390,2,58,8,1,1,2,30,5,30,5,1,2,2,2,2,1,4,4,2,4,8,2,5,5,7,2,3,3,2,2,2,2,3,3,2,2,2,2
回答者391,1,59,8,1,2,1,27,5,27,5,1,2,2,1,1,2,2,1,2,1,6,2,3,2,2,1,1,2,3,2,3,2,1,1,1,1,1,2
回答者392,1,58,8,1,1,1,27,5,27,5,5,5,5,5,5,5,4,4,5,5,8,3,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3
回答者393,1,58,8,1,3,3,27,5,27,5,3,2,3,4,3,3,3,1,4,1,4,4,5,4,4,2,3,2,4,3,2,3,4,4,3,3,4,2
回答者394,1,59,8,1,1,4,27,5,26,5,2,3,4,3,2,3,2,2,2,2,2,2,2,1,2,4,3,2,3,4,3,2,3,4,3,2,3,4
回答者395,1,58,8,1,5,1,29,5,27,5,4,4,5,5,5,5,3,3,4,4,4,2,3,5,7,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者396,2,61,9,1,5,3,29,5,29,5,2,2,2,2,2,2,1,1,1,1,3,3,4,2,2,5,5,5,5,5,5,5,5,5,3,3,2,2
回答者397,2,61,9,1,1,1,27,5,27,5,3,3,3,3,3,3,5,4,3,1,4,2,5,5,3,3,2,3,3,3,3,3,3,3,3,2,3,3
回答者398,2,63,9,1,1,5,27,5,27,5,2,2,2,2,2,2,2,4,3,3,4,3,5,1,3,2,2,2,2,2,1,2,2,2,3,2,2,2
