質問項目,性別,年齢,年代,職業,職種,従業員数（民間企業）,居住地,居住地（7区分）,勤務地,勤務地（7区分）,1.あなたの職場では、ポジションごとに求められる役割や、その役割の遂行に当たり必要な知識・スキルが明確に示されている。,2.あなたは、現在従事するポジションに求められる役割の遂行に当たり必要な知識・スキルを習得するために、トレーニングの機会を与えられるなど、組織から十分なサポートを受けている。,3.あなたが公務組織（民間企業）で身に付けた知識・スキルは、民間企業（公務組織）でも活かせると思う。,4.あなたは、リスキリング（新しい仕事をするために学ぶこと、職業能力の再開発・再教育）に関心がある。,5.あなたは、業務に関する知識・スキルの保有状況を組織内で共有・公開したいと思う。（その情報は、例えば人事異動の検討などに活用することが想定されます。）,6.あなたは、業務と関係のない特技や趣味といった、業務外でのあなた自身のことを深く知ることにつながる情報を組織内で共有・公開したいと思う。（組織内でのコミュニケーション活性化に活用することが想定されます。）,7.あなたは、将来、どのような職務に従事したいか、そのために今からどのようなキャリアを歩みたいかについて、具体的に考えている。,8.あなたは、自分自身のキャリアやスキルアップのための自己研鑽（業務として行うものではないもの）に取り組んでいますか。,9.あなたの職場では、自分自身のキャリア（例えば将来歩みたいキャリアパスなど）について上司や人事担当者などに気軽に相談できる機会や仕組みがある。,10.あなたは、選べるとしたら、１つの部署に長年在籍して特定の専門分野を極めたいですか。それとも、様々な部署を経験し、その組織全体の総合的な知識を身に付けたいですか。,11.次の８つの選択肢のうち、「働くうえで、自分にとって最も重要と感じること」を１つ選択してください。,12.あなたは、「転職」や「人材の流動化」について、ポジティブとネガティブのどちらの印象をより強くお持ちですか。,13.あなた自身は、今後、転職することを考えていますか。,14.あなたは、民間企業（各府省庁（国家公務員））への転職に関心がある。,15.あなたは、あなたの所属する組織のミッション・ビジョン・バリューやパーパスに共感している。,16.あなたは、仕事を進めるにあたり十分な裁量を与えられている。,17.あなたは、いまの職場の仕事に熱中することができている。,18.あなたは、これまでの自分自身の人事異動に納得している。,19.あなたの職場では、業務効率化の取組みが積極的に行われている。,20.あなたの職場では、適切な人員配置が行われている。,21.あなたは、上司や人事担当者には、従業員（職員）一人一人のキャリア志向、成した成果などについて、もっと丁寧に向き合ってほしいと思う。,22.あなたは、これまでの自分自身に対する人事評価に納得している。,23.あなたの職場では、従業員（職員）を大切にする風土がある。,24.あなたの職場では、何事も気軽に相談できる雰囲気がある。,25.あなたは、現在の勤務時間や勤務場所に不都合を感じることはない（状況に合わせた柔軟な働き方ができている）。,26.あなたは、いまの職場で働くことに満足している。,27.あなたは、現在の職場を親しい友人や知人に勧めたいと思う。,28.従業員（職員）の満足度ややりがいを高める目的で、人事部門があなたの個人情報の提供を求めたり、実際に収集し分析したりすることに抵抗はない。
回答者399,2,63,9,1,1,5,27,5,27,5,2,2,3,3,3,3,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
回答者400,2,64,9,1,1,1,27,5,27,5,2,5,5,5,5,5,5,4,5,3,8,2,5,5,7,3,2,2,3,3,3,3,3,3,3,3,3,3
回答者401,2,60,9,1,1,2,28,5,28,5,3,3,3,3,3,3,5,4,3,4,8,4,5,5,2,3,2,2,2,2,2,2,2,2,2,1,2,3
回答者402,1,63,9,1,1,4,27,5,27,5,2,1,2,2,2,3,2,3,2,3,2,3,5,2,3,2,1,2,2,2,3,2,2,3,3,2,2,2
回答者403,1,62,9,1,1,3,29,5,27,5,3,3,3,3,4,3,4,4,4,4,3,3,2,3,3,3,2,2,2,3,3,3,3,4,3,2,4,3
回答者404,1,23,1,1,2,2,38,6,38,6,3,2,2,4,3,3,2,1,2,3,3,3,3,2,1,2,1,3,2,2,2,2,4,2,2,2,3,2
回答者405,2,23,1,1,5,4,34,6,34,6,5,5,5,5,5,5,2,1,2,4,1,5,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者406,2,24,1,1,2,1,39,6,39,6,1,4,3,1,3,1,2,1,5,5,8,1,2,2,2,3,1,3,2,1,1,3,3,5,3,2,5,5
回答者407,1,23,1,1,4,1,34,6,34,6,2,1,4,2,3,2,4,3,2,2,4,2,5,5,2,2,3,2,2,3,3,2,2,3,3,2,3,2
回答者408,2,22,1,1,5,1,34,6,34,6,5,5,5,5,5,5,3,4,4,3,7,4,1,1,6,1,3,2,3,2,3,3,3,4,4,2,2,1
回答者409,2,27,2,1,1,1,34,6,34,6,1,1,2,2,2,2,2,3,2,3,4,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者410,1,26,2,1,1,3,36,6,36,6,3,3,3,4,3,3,5,4,2,2,4,4,5,5,3,2,4,2,2,3,2,3,3,2,3,2,2,2
回答者411,2,28,2,1,1,4,37,6,37,6,3,3,3,4,3,4,3,3,4,2,2,3,4,4,6,3,3,3,3,3,4,4,3,4,3,3,3,3
回答者412,2,28,2,1,1,5,39,6,39,6,3,3,5,2,5,5,5,4,5,5,7,5,5,4,7,4,2,2,4,3,4,4,3,4,3,4,4,5
回答者413,1,33,3,1,4,2,37,6,37,6,2,1,1,3,2,3,3,2,3,4,4,4,2,3,3,2,3,2,4,3,2,3,2,2,3,2,2,3
回答者414,1,30,3,1,3,1,35,6,35,6,3,3,4,3,3,3,3,2,2,3,7,3,3,2,3,3,5,3,3,3,3,4,3,3,3,3,3,3
回答者415,2,30,3,1,1,2,33,6,33,6,2,1,3,2,2,2,2,1,1,3,4,5,5,5,7,1,1,2,2,3,2,2,2,3,1,1,3,2
回答者416,1,33,3,1,1,1,33,6,33,6,2,2,2,3,3,2,2,2,3,3,2,1,2,3,4,2,3,3,3,3,3,3,3,3,4,3,4,4
回答者417,2,30,3,1,1,1,34,6,34,6,3,2,2,3,2,3,2,3,2,2,4,4,3,3,2,3,2,2,3,3,2,2,3,3,4,4,3,4
回答者418,2,39,4,1,1,5,33,6,33,6,2,2,2,2,2,2,2,2,2,2,1,4,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1
回答者419,2,37,4,1,1,3,33,6,33,6,4,3,3,2,2,2,5,4,2,2,4,4,5,5,6,4,4,4,2,2,3,2,2,2,2,2,2,2
回答者420,1,35,4,1,4,2,34,6,34,6,3,3,4,3,3,3,3,4,5,3,4,3,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4
回答者421,1,37,4,1,2,2,36,6,36,6,2,4,2,2,4,2,2,1,2,2,2,2,4,2,3,2,3,3,2,2,2,2,4,2,2,3,2,2
回答者422,1,37,4,1,1,3,38,6,38,6,4,3,4,3,2,3,3,4,4,4,4,4,4,3,3,4,3,4,3,2,2,3,3,4,3,2,3,2
回答者423,2,40,5,1,1,1,35,6,35,6,5,5,5,5,5,5,5,4,5,5,8,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者424,1,42,5,1,1,3,39,6,39,6,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,3,2,3,3,2,3,2,3
回答者425,1,43,5,1,1,5,38,6,38,6,3,2,3,3,3,3,3,4,3,1,4,3,5,5,4,3,3,3,3,3,3,3,3,3,3,2,3,4
回答者426,1,44,5,1,1,4,35,6,35,6,2,3,2,2,2,2,2,3,2,2,2,4,4,3,3,4,3,4,2,3,3,3,3,3,4,3,3,3
回答者427,2,49,6,1,3,2,35,6,35,6,2,2,3,2,2,2,4,4,4,2,6,4,5,5,6,4,2,2,3,2,3,2,3,2,2,2,4,2
回答者428,1,48,6,1,2,2,34,6,34,6,3,4,2,3,3,2,2,1,3,2,1,3,5,5,3,2,2,3,2,3,3,3,2,3,3,2,2,2
回答者429,2,47,6,1,1,1,38,6,38,6,2,3,4,3,4,3,3,1,2,2,4,2,5,5,3,1,2,2,2,2,3,3,1,2,2,1,2,3
回答者430,1,46,6,1,4,1,34,6,34,6,2,2,4,4,4,4,2,3,3,2,1,4,4,5,5,3,2,2,2,3,2,2,2,3,3,3,3,4
回答者431,2,48,6,1,1,1,37,6,37,6,2,5,5,5,5,5,2,2,5,3,4,3,2,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者432,2,53,7,1,5,4,34,6,34,6,4,3,4,2,3,3,4,3,5,3,3,2,3,5,5,4,4,3,4,4,3,3,4,4,3,4,5,5
回答者433,2,54,7,1,5,4,32,6,32,6,2,3,3,3,3,3,3,4,5,4,4,3,4,2,4,5,4,3,4,3,3,4,4,3,3,4,3,4
回答者434,1,53,7,1,1,3,34,6,34,6,4,2,5,3,3,5,5,4,3,1,4,3,4,5,3,3,2,2,3,4,2,3,2,3,2,4,2,3
回答者435,1,50,7,1,1,2,34,6,34,6,5,5,3,2,2,5,4,2,5,3,1,5,2,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3
回答者436,2,56,8,1,1,1,39,6,39,6,5,5,5,5,5,5,5,4,5,2,4,5,5,5,7,5,5,5,5,5,5,4,5,5,5,5,5,5
回答者437,2,59,8,1,2,2,33,6,33,6,1,3,5,4,3,4,3,4,4,1,4,3,5,3,6,1,1,1,2,2,3,2,2,2,2,2,2,2
回答者438,2,57,8,1,5,5,35,6,35,6,3,3,3,3,4,3,5,4,5,5,8,3,5,5,7,4,3,3,3,4,3,4,3,3,3,4,3,3
回答者439,2,55,8,1,1,4,34,6,34,6,3,3,5,4,5,5,4,4,3,3,4,4,5,5,6,4,2,3,3,3,3,3,3,4,3,3,4,3
回答者440,2,64,9,1,1,1,37,6,37,6,4,5,3,5,4,5,5,4,5,3,4,3,5,5,7,3,3,4,5,4,1,5,4,5,4,4,5,5
回答者441,2,61,9,1,2,1,36,6,36,6,1,1,2,2,1,2,5,4,5,1,1,3,5,5,6,2,2,3,1,2,3,3,1,2,1,3,3,2
回答者442,2,61,9,1,1,3,37,6,37,6,2,2,2,2,2,2,2,4,3,2,5,2,5,5,4,3,2,2,2,2,2,2,2,3,2,2,3,2
回答者443,2,60,9,1,1,1,38,6,38,6,3,3,4,3,2,3,3,4,3,4,4,4,4,5,3,2,3,3,2,4,3,3,3,3,3,3,3,3
回答者444,1,62,9,1,1,2,36,6,36,6,3,2,2,2,3,3,2,1,3,2,2,1,2,5,4,4,3,4,3,3,3,3,3,3,3,4,3,4
回答者445,2,24,1,1,1,5,40,7,40,7,2,2,1,2,2,2,1,2,1,1,3,1,5,5,5,5,4,2,2,2,2,2,1,4,2,4,4,2
回答者446,1,22,1,1,4,2,40,7,40,7,2,2,2,2,2,2,2,2,2,3,4,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者447,2,23,1,1,1,4,40,7,40,7,2,2,5,2,2,2,5,3,4,2,4,2,5,5,1,2,2,3,3,1,3,1,3,3,3,1,2,2
回答者448,2,20,1,1,1,2,40,7,40,7,4,2,3,2,2,3,2,3,2,2,5,4,3,2,3,2,3,3,3,3,2,3,3,3,3,3,3,3
回答者449,1,24,1,1,1,2,43,7,43,7,3,1,4,2,2,3,2,1,2,4,5,2,1,3,1,1,1,1,3,1,2,3,2,2,4,2,2,4
回答者450,1,24,1,1,1,2,47,7,47,7,2,3,4,5,5,5,3,2,3,3,4,3,3,3,3,2,3,3,4,4,2,2,2,2,2,3,3,3
回答者451,2,22,1,1,1,1,40,7,40,7,2,2,2,2,2,2,2,2,2,4,5,3,4,2,3,3,2,3,3,2,2,2,3,2,3,2,3,2
回答者452,2,23,1,1,2,1,43,7,43,7,4,2,2,2,4,3,2,2,1,1,4,1,5,3,2,3,2,4,3,2,2,4,2,2,1,4,2,1
回答者453,2,29,2,1,1,2,46,7,46,7,3,2,2,2,2,2,4,4,4,3,4,3,5,4,5,4,3,2,4,3,4,3,4,3,4,3,3,3
回答者454,2,27,2,1,1,1,40,7,40,7,3,2,3,2,5,2,5,4,5,5,8,1,5,5,7,4,4,2,2,4,3,4,2,4,3,2,4,4
回答者455,2,28,2,1,2,2,47,7,47,7,4,3,2,4,4,4,3,2,3,3,5,3,4,2,3,4,2,2,2,2,2,4,3,3,3,4,2,2
回答者456,1,25,2,1,1,1,47,7,47,7,3,3,3,4,3,3,3,4,3,3,8,3,4,5,3,3,3,3,3,3,3,3,2,3,3,3,3,3
回答者457,2,27,2,1,1,1,46,7,46,7,2,4,5,5,1,5,2,3,5,1,4,5,3,5,6,4,5,3,5,5,1,2,5,4,5,5,5,1
回答者458,1,33,3,1,1,5,40,7,40,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者459,1,34,3,1,2,4,40,7,40,7,1,3,3,2,2,2,2,3,2,1,2,4,4,4,3,4,1,3,3,3,2,4,3,3,2,2,3,2
回答者460,2,33,3,1,1,2,43,7,43,7,1,1,2,2,2,2,2,1,1,1,5,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
回答者461,2,34,3,1,1,2,44,7,44,7,2,2,5,1,2,2,4,1,2,1,4,4,5,5,2,2,2,2,2,2,3,4,2,2,2,2,3,2
回答者462,1,32,3,1,1,5,40,7,40,7,3,3,3,4,3,3,3,4,5,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者463,2,32,3,1,1,1,45,7,45,7,1,1,5,3,3,3,4,3,4,2,4,3,3,4,6,3,2,2,4,3,2,4,4,5,2,2,3,3
回答者464,1,31,3,1,1,3,40,7,40,7,2,3,5,4,2,2,3,4,4,5,7,3,4,3,6,2,2,3,4,3,4,2,1,3,3,2,4,4
回答者465,1,36,4,1,4,3,43,7,43,7,2,4,4,3,3,3,4,4,3,2,3,4,3,5,4,3,5,4,2,4,3,3,4,3,4,5,5,5
回答者466,2,36,4,1,1,3,40,7,40,7,1,2,4,2,2,3,2,4,3,4,4,3,3,4,6,3,2,2,3,4,1,4,5,4,5,3,5,5
回答者467,1,39,4,1,1,2,40,7,40,7,1,2,2,3,2,2,4,3,4,4,1,2,3,2,3,2,2,3,2,3,2,2,3,2,3,3,3,3
回答者468,2,39,4,1,1,4,46,7,46,7,5,5,5,5,5,5,5,3,5,3,4,4,1,5,7,3,3,3,3,3,3,3,3,3,3,3,3,4
回答者469,1,38,4,1,1,3,45,7,45,7,2,3,4,4,3,3,4,4,5,1,4,4,5,5,4,3,2,4,2,2,3,2,5,4,2,2,4,3
回答者470,2,37,4,1,1,1,43,7,43,7,4,4,4,4,5,4,5,4,5,5,4,2,5,5,7,3,3,3,2,3,3,3,3,3,3,4,3,3
回答者471,2,35,4,1,1,1,43,7,43,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
回答者472,2,38,4,1,1,3,44,7,44,7,4,4,4,4,4,4,4,4,4,3,8,4,3,5,6,4,4,5,4,5,2,4,5,5,5,4,5,2
回答者473,1,43,5,1,1,5,40,7,40,7,3,3,3,3,3,2,3,1,3,3,4,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3
回答者474,2,44,5,1,1,1,43,7,43,7,4,3,4,2,4,4,5,2,5,4,4,2,5,5,7,4,4,3,4,3,4,3,4,4,2,3,5,3
回答者475,1,43,5,1,2,2,40,7,40,7,3,3,3,2,2,4,3,2,3,4,4,2,4,2,7,2,2,3,3,3,2,3,3,3,3,3,3,2
回答者476,1,43,5,1,1,1,47,7,47,7,3,3,3,3,2,4,4,1,4,2,1,3,4,4,6,2,2,2,2,3,4,3,2,3,2,2,4,3
回答者477,1,42,5,1,2,1,43,7,43,7,4,3,3,4,3,4,4,3,3,3,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3
回答者478,2,49,6,1,1,3,40,7,40,7,3,4,3,4,4,4,3,4,4,4,4,3,5,5,4,4,3,3,4,4,4,3,3,3,4,4,4,4
回答者479,1,47,6,1,1,4,45,7,46,7,2,2,2,2,3,2,2,2,2,2,2,2,4,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2
回答者480,2,46,6,1,1,1,46,7,46,7,2,4,3,3,3,3,5,4,5,5,4,5,5,5,6,1,2,2,4,1,3,1,4,1,1,1,2,3
回答者481,1,48,6,1,3,1,43,7,43,7,2,2,3,2,3,3,3,3,2,4,2,3,4,2,2,2,3,2,3,3,2,2,3,3,3,2,2,2
回答者482,1,45,6,1,1,2,41,7,41,7,2,2,3,2,2,3,4,3,3,3,4,4,5,3,4,2,4,5,3,4,2,4,4,3,3,2,4,2
回答者483,1,46,6,1,5,3,40,7,40,7,3,3,4,4,3,3,4,4,3,3,4,3,5,5,7,3,3,3,3,2,3,3,4,3,3,3,3,2
回答者484,1,52,7,1,1,1,43,7,43,7,4,4,5,3,3,4,5,4,5,5,4,4,3,5,5,5,4,5,4,4,4,5,5,4,4,3,4,4
回答者485,1,54,7,1,1,2,40,7,40,7,1,2,3,3,2,2,3,3,2,2,2,2,3,3,3,2,2,3,3,4,3,3,2,2,3,2,3,3
回答者486,2,52,7,1,2,1,43,7,43,7,2,3,2,2,2,5,3,1,4,1,4,1,1,1,6,3,4,3,2,4,2,3,2,3,2,4,3,3
回答者487,1,54,7,1,1,2,47,7,47,7,2,2,2,2,3,3,3,3,3,2,7,2,5,5,3,3,2,2,3,3,3,2,3,3,2,2,3,3
回答者488,1,51,7,1,1,3,40,7,40,7,5,5,3,3,3,3,5,4,5,3,4,1,5,5,7,3,3,3,3,3,3,3,3,3,3,3,5,3
回答者489,2,55,8,1,1,2,40,7,40,7,4,4,4,4,4,4,3,4,5,2,6,2,5,2,6,2,2,3,4,4,2,4,3,4,2,2,3,2
回答者490,1,59,8,1,1,2,45,7,45,7,3,5,5,5,5,5,3,4,4,3,4,4,3,3,3,5,4,5,5,5,3,5,5,5,1,5,5,3
回答者491,2,55,8,1,2,2,44,7,44,7,2,2,2,2,2,3,2,1,2,2,1,1,4,4,2,2,2,2,2,3,4,3,3,3,4,3,3,3
回答者492,2,55,8,1,1,1,41,7,41,7,1,3,5,5,5,5,5,4,5,2,4,5,5,5,6,2,2,3,3,1,2,2,2,1,1,1,3,2
回答者493,1,58,8,1,1,1,45,7,45,7,5,5,5,5,5,5,2,3,4,3,4,3,3,5,4,3,3,3,3,2,3,3,3,3,3,3,3,3
回答者494,2,65,9,1,1,3,40,7,40,7,3,4,4,3,3,3,5,4,5,3,8,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者495,1,63,9,1,3,2,47,7,47,7,3,2,3,4,3,3,3,4,3,3,8,3,4,3,3,4,3,3,2,4,2,3,2,4,2,3,2,3
回答者496,2,62,9,1,1,1,42,7,42,7,5,5,5,5,5,5,5,4,5,5,4,3,4,5,3,3,2,2,3,3,3,3,3,3,3,3,3,3
回答者497,1,62,9,1,1,3,40,7,40,7,2,2,2,2,2,2,2,1,2,5,6,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者498,1,60,9,1,5,5,42,7,42,7,4,4,5,4,4,4,1,3,5,4,4,2,4,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者499,1,62,9,1,4,3,41,7,41,7,3,3,3,3,3,3,2,3,3,3,4,3,4,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3
回答者500,1,63,9,1,1,2,41,7,40,7,4,4,3,2,2,3,2,1,5,4,8,3,4,5,7,2,2,2,2,3,3,4,4,4,4,4,5,4
回答者501,2,24,1,2,9,9,4,1,4,1,1,1,1,1,1,1,1,1,1,1,4,2,5,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1
回答者502,1,22,1,2,9,9,4,1,5,1,5,5,5,5,5,5,5,4,5,5,7,3,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者503,1,18,1,2,9,9,5,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
回答者504,1,25,2,2,9,9,1,1,1,1,3,3,2,4,3,1,1,2,2,2,1,1,1,1,1,5,5,2,4,3,3,3,4,3,3,3,4,3
回答者505,1,27,2,2,9,9,1,1,1,1,3,2,1,4,5,4,4,3,5,4,4,1,5,5,6,4,1,1,5,5,1,1,1,1,1,3,3,1
回答者506,1,28,2,2,9,9,1,1,1,1,3,4,4,3,3,4,3,1,5,2,4,1,3,2,4,5,4,5,4,5,1,3,4,5,4,5,5,3
回答者507,2,27,2,2,9,9,1,1,1,1,2,2,2,2,2,2,3,2,2,1,8,2,3,2,6,2,2,3,3,3,2,2,2,2,3,2,2,2
回答者508,2,25,2,2,9,9,1,1,1,1,3,3,3,2,2,3,4,3,2,4,4,5,5,5,2,5,2,1,3,2,3,2,2,1,1,1,2,2
回答者509,2,27,2,2,9,9,1,1,1,1,2,2,2,2,2,3,2,3,2,1,1,1,5,5,2,1,1,1,1,2,2,1,1,1,1,1,1,1
回答者510,1,33,3,2,9,9,2,1,2,1,1,4,2,2,2,2,2,1,4,1,1,2,2,2,3,2,2,2,2,1,2,2,3,1,2,3,2,1
回答者511,2,30,3,2,9,9,1,1,1,1,2,2,3,2,3,2,2,2,2,2,3,2,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者512,1,33,3,2,9,9,4,1,4,1,5,5,1,1,5,5,5,3,5,5,8,1,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者513,1,34,3,2,9,9,1,1,1,1,2,4,5,1,1,1,3,3,3,2,8,1,4,2,1,4,3,3,5,5,1,5,5,4,5,5,5,1
回答者514,2,33,3,2,9,9,1,1,1,1,2,2,2,5,2,2,2,3,3,2,4,2,3,3,4,4,4,4,3,5,5,5,5,5,5,5,5,5
回答者515,2,32,3,2,9,9,1,1,1,1,2,3,2,4,3,4,4,4,1,2,8,1,5,4,6,2,2,1,1,2,3,2,2,1,2,2,3,2
回答者516,1,36,4,2,9,9,2,1,2,1,2,2,4,3,3,2,2,3,2,2,1,4,5,4,6,1,1,2,2,2,2,3,3,2,2,2,3,2
回答者517,1,35,4,2,9,9,1,1,1,1,4,3,5,3,3,3,3,3,3,4,2,3,4,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3
回答者518,1,36,4,2,9,9,1,1,1,1,5,5,5,2,4,4,3,3,5,2,4,4,3,3,5,5,5,5,5,5,1,5,5,5,5,5,5,1
回答者519,2,38,4,2,9,9,4,1,4,1,1,1,2,2,2,4,4,2,2,1,4,2,5,5,2,2,2,3,2,3,3,3,3,2,4,2,3,3
回答者520,2,38,4,2,9,9,1,1,1,1,2,1,1,1,3,4,2,1,1,2,8,1,3,2,6,2,2,3,2,3,3,2,3,2,1,3,3,2
回答者521,1,44,5,2,9,9,1,1,1,1,5,4,5,1,2,1,2,3,5,1,4,1,2,2,5,5,5,4,4,5,3,5,4,5,5,5,5,5
回答者522,2,44,5,2,9,9,1,1,1,1,5,4,4,2,4,5,2,1,5,1,1,1,2,1,3,3,2,5,3,4,1,5,3,2,4,4,4,5
回答者523,1,41,5,2,9,9,1,1,1,1,2,3,3,2,3,3,3,3,2,3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者524,1,41,5,2,9,9,4,1,4,1,3,3,2,3,3,3,2,3,4,3,3,5,5,5,7,3,3,3,2,2,3,3,2,3,3,3,4,4
回答者525,2,44,5,2,9,9,4,1,4,1,3,2,3,3,2,2,3,3,2,3,2,4,5,4,2,2,2,2,3,2,3,2,2,2,3,2,2,3
回答者526,2,44,5,2,9,9,4,1,4,1,3,3,2,2,2,2,3,1,3,1,8,1,3,2,3,4,2,2,2,4,2,3,3,3,3,4,4,2
回答者527,1,43,5,2,9,9,2,1,2,1,2,3,4,1,2,2,3,4,4,4,6,2,4,2,4,3,2,2,3,3,3,4,2,4,3,3,4,2
回答者528,1,44,5,2,9,9,1,1,1,1,2,3,3,3,3,3,3,3,3,3,4,3,5,3,6,1,1,3,4,3,3,2,3,3,3,1,3,3
回答者529,1,41,5,2,9,9,4,1,4,1,4,3,3,4,3,3,5,4,5,5,5,5,5,5,7,2,3,2,4,3,3,3,3,3,3,3,3,3
回答者530,1,43,5,2,9,9,1,1,1,1,2,2,3,2,2,2,2,3,4,3,4,1,1,1,5,2,2,3,4,3,2,4,3,3,4,5,5,3
回答者531,1,46,6,2,9,9,1,1,1,1,2,2,3,3,3,3,4,4,2,2,3,3,5,5,3,3,3,2,3,2,3,2,3,2,2,2,3,3
回答者532,1,48,6,2,9,9,5,1,5,1,2,1,2,2,1,2,4,4,2,5,8,5,2,1,6,2,2,3,1,3,2,2,1,1,2,1,1,1
回答者533,2,49,6,2,9,9,1,1,1,1,5,3,3,3,3,3,3,4,3,3,8,3,4,3,7,3,3,3,3,3,4,3,3,3,3,3,3,3
回答者534,1,48,6,2,9,9,1,1,1,1,4,3,3,4,3,4,4,4,4,4,8,3,4,3,5,2,4,3,4,3,3,2,4,3,4,2,3,2
回答者535,2,48,6,2,9,9,4,1,4,1,4,4,5,3,3,3,4,3,5,1,1,5,3,3,5,4,5,3,5,5,1,4,4,5,4,4,5,3
回答者536,2,48,6,2,9,9,1,1,2,1,3,3,1,3,2,3,2,2,2,3,5,3,3,2,2,3,3,2,2,3,3,1,3,3,3,2,3,3
回答者537,1,45,6,2,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1
回答者538,1,49,6,2,9,9,1,1,1,1,1,1,1,3,2,2,2,3,2,2,4,3,5,3,6,2,2,2,2,2,3,2,2,3,2,2,2,2
回答者539,1,49,6,2,9,9,2,1,2,1,4,3,3,2,3,4,3,1,5,3,6,3,4,3,3,3,5,5,5,5,3,3,3,3,3,5,5,5
回答者540,1,45,6,2,9,9,1,1,1,1,3,3,3,3,3,3,2,2,3,3,4,2,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2
回答者541,1,48,6,2,9,9,5,1,5,1,5,5,5,5,5,5,4,2,5,4,4,4,4,2,5,4,4,5,4,4,4,4,4,4,4,4,4,4
回答者542,1,48,6,2,9,9,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者543,2,52,7,2,9,9,1,1,1,1,3,3,3,3,3,3,5,3,5,3,4,3,4,3,3,3,3,5,3,5,3,3,3,3,3,5,5,3
回答者544,1,54,7,2,9,9,1,1,1,1,2,4,4,2,5,4,4,3,2,5,8,2,3,2,4,4,5,4,1,2,3,3,3,2,2,2,3,4
回答者545,1,51,7,2,9,9,1,1,1,1,3,3,3,4,4,4,4,4,4,2,4,4,5,5,3,3,3,3,3,3,3,4,4,4,4,4,4,4
回答者546,1,54,7,2,9,9,1,1,1,1,2,2,2,3,3,2,2,2,4,3,6,4,4,3,3,2,2,3,3,4,2,3,3,3,3,3,3,2
回答者547,1,52,7,2,9,9,4,1,4,1,2,1,1,2,2,2,2,3,1,2,2,1,3,2,6,2,4,2,2,2,3,1,1,1,1,1,1,2
回答者548,1,54,7,2,9,9,2,1,2,1,2,2,4,4,3,4,5,4,4,2,1,3,2,4,2,2,2,2,2,4,4,2,2,3,2,2,3,2
回答者549,1,50,7,2,9,9,1,1,1,1,3,3,3,3,3,3,3,4,5,4,4,4,4,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3
