質問項目,性別,年齢,年代,職業,職種,従業員数（民間企業）,居住地,居住地（7区分）,勤務地,勤務地（7区分）,1.あなたの職場では、ポジションごとに求められる役割や、その役割の遂行に当たり必要な知識・スキルが明確に示されている。,2.あなたは、現在従事するポジションに求められる役割の遂行に当たり必要な知識・スキルを習得するために、トレーニングの機会を与えられるなど、組織から十分なサポートを受けている。,3.あなたが公務組織（民間企業）で身に付けた知識・スキルは、民間企業（公務組織）でも活かせると思う。,4.あなたは、リスキリング（新しい仕事をするために学ぶこと、職業能力の再開発・再教育）に関心がある。,5.あなたは、業務に関する知識・スキルの保有状況を組織内で共有・公開したいと思う。（その情報は、例えば人事異動の検討などに活用することが想定されます。）,6.あなたは、業務と関係のない特技や趣味といった、業務外でのあなた自身のことを深く知ることにつながる情報を組織内で共有・公開したいと思う。（組織内でのコミュニケーション活性化に活用することが想定されます。）,7.あなたは、将来、どのような職務に従事したいか、そのために今からどのようなキャリアを歩みたいかについて、具体的に考えている。,8.あなたは、自分自身のキャリアやスキルアップのための自己研鑽（業務として行うものではないもの）に取り組んでいますか。,9.あなたの職場では、自分自身のキャリア（例えば将来歩みたいキャリアパスなど）について上司や人事担当者などに気軽に相談できる機会や仕組みがある。,10.あなたは、選べるとしたら、１つの部署に長年在籍して特定の専門分野を極めたいですか。それとも、様々な部署を経験し、その組織全体の総合的な知識を身に付けたいですか。,11.次の８つの選択肢のうち、「働くうえで、自分にとって最も重要と感じること」を１つ選択してください。,12.あなたは、「転職」や「人材の流動化」について、ポジティブとネガティブのどちらの印象をより強くお持ちですか。,13.あなた自身は、今後、転職することを考えていますか。,14.あなたは、民間企業（各府省庁（国家公務員））への転職に関心がある。,15.あなたは、あなたの所属する組織のミッション・ビジョン・バリューやパーパスに共感している。,16.あなたは、仕事を進めるにあたり十分な裁量を与えられている。,17.あなたは、いまの職場の仕事に熱中することができている。,18.あなたは、これまでの自分自身の人事異動に納得している。,19.あなたの職場では、業務効率化の取組みが積極的に行われている。,20.あなたの職場では、適切な人員配置が行われている。,21.あなたは、上司や人事担当者には、従業員（職員）一人一人のキャリア志向、成した成果などについて、もっと丁寧に向き合ってほしいと思う。,22.あなたは、これまでの自分自身に対する人事評価に納得している。,23.あなたの職場では、従業員（職員）を大切にする風土がある。,24.あなたの職場では、何事も気軽に相談できる雰囲気がある。,25.あなたは、現在の勤務時間や勤務場所に不都合を感じることはない（状況に合わせた柔軟な働き方ができている）。,26.あなたは、いまの職場で働くことに満足している。,27.あなたは、現在の職場を親しい友人や知人に勧めたいと思う。,28.従業員（職員）の満足度ややりがいを高める目的で、人事部門があなたの個人情報の提供を求めたり、実際に収集し分析したりすることに抵抗はない。
回答者550,1,55,8,2,9,9,1,1,1,1,1,1,1,1,1,1,3,4,3,3,4,5,5,5,3,4,1,3,2,3,3,2,3,4,3,3,3,2
回答者551,1,58,8,2,9,9,1,1,1,1,3,3,2,3,3,3,4,4,3,4,1,4,5,5,2,4,4,4,2,3,3,3,2,3,3,3,3,3
回答者552,1,58,8,2,9,9,4,1,4,1,2,2,2,3,4,3,3,4,2,2,6,2,3,3,2,3,2,2,2,2,3,2,2,2,2,2,2,2
回答者553,1,59,8,2,9,9,1,1,1,1,2,2,2,3,3,3,3,4,2,3,4,3,5,5,6,3,2,2,2,2,3,2,2,2,2,3,2,3
回答者554,1,56,8,2,9,9,6,1,6,1,3,3,3,3,3,3,3,4,3,3,8,2,4,3,3,3,3,2,3,4,3,3,3,3,3,2,3,3
回答者555,1,57,8,2,9,9,1,1,1,1,3,3,3,4,2,4,3,4,3,1,4,3,5,4,4,3,3,3,3,3,3,3,3,3,2,3,3,3
回答者556,1,64,9,2,9,9,2,1,2,1,3,3,4,3,3,3,4,4,5,3,4,4,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4
回答者557,1,62,9,2,9,9,5,1,5,1,2,3,3,2,2,2,2,3,4,2,1,5,5,5,1,1,1,2,2,2,2,2,2,2,2,1,1,2
回答者558,1,61,9,2,9,9,4,1,4,1,3,3,5,5,5,5,5,4,5,5,4,3,5,5,6,5,3,4,3,5,4,3,4,5,4,2,3,3
回答者559,1,60,9,2,9,9,5,1,5,1,3,4,2,5,2,3,4,4,4,2,3,1,3,2,3,4,2,4,2,3,2,1,5,3,4,4,5,3
回答者560,1,60,9,2,9,9,5,1,5,1,2,3,2,4,2,3,5,4,4,3,2,2,5,2,3,5,5,5,3,4,3,2,2,2,2,4,3,3
回答者561,1,62,9,2,9,9,3,1,3,1,3,3,3,3,3,3,4,4,3,3,4,4,5,5,3,2,2,4,3,3,2,4,3,3,2,2,3,3
回答者562,1,60,9,2,9,9,1,1,1,1,2,2,2,2,2,2,1,3,4,2,3,2,3,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2
回答者563,1,62,9,2,9,9,1,1,1,1,3,2,2,2,3,3,2,3,2,1,2,2,3,2,2,2,1,2,2,3,2,3,2,2,2,2,3,3
回答者564,1,63,9,2,9,9,3,1,3,1,2,3,3,5,3,5,5,4,4,4,8,5,5,5,6,2,2,2,3,3,3,2,2,3,1,1,3,3
回答者565,1,61,9,2,9,9,4,1,4,1,2,2,2,3,3,3,3,3,2,3,4,3,4,3,2,3,2,4,3,4,3,3,3,3,3,3,3,3
回答者566,1,24,1,2,9,9,14,2,13,3,3,3,4,3,3,3,4,3,4,3,4,4,4,5,6,3,3,2,3,5,3,3,3,3,3,3,3,3
回答者567,2,21,1,2,9,9,12,2,13,3,3,2,2,2,2,2,2,3,2,4,4,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者568,2,23,1,2,9,9,11,2,11,2,1,2,1,2,1,1,5,3,2,4,3,2,3,3,1,2,2,1,2,1,2,2,1,1,1,1,1,1
回答者569,2,24,1,2,9,9,8,2,8,2,3,2,3,2,3,3,2,2,2,2,4,5,4,1,3,2,3,2,3,3,2,3,2,1,4,2,4,2
回答者570,2,24,1,2,9,9,14,2,14,2,2,2,2,2,2,2,2,1,4,2,1,2,3,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1
回答者571,2,23,1,2,9,9,11,2,11,2,2,2,2,2,2,2,3,3,3,2,1,2,2,2,2,2,3,1,2,3,2,2,2,3,3,3,4,3
回答者572,2,24,1,2,9,9,11,2,13,3,3,1,4,3,1,4,1,3,4,4,1,4,5,5,1,1,1,2,3,2,4,1,1,2,2,1,1,3
回答者573,1,26,2,2,9,9,11,2,11,2,2,3,4,4,3,3,4,4,3,4,4,4,5,5,3,3,3,2,4,3,3,3,3,2,2,3,4,3
回答者574,1,25,2,2,9,9,11,2,11,2,2,1,2,3,2,2,2,2,2,2,4,2,2,2,2,3,1,2,2,4,2,2,2,2,2,2,2,1
回答者575,2,27,2,2,9,9,14,2,14,2,5,4,5,2,2,4,5,4,2,2,4,4,5,5,4,5,5,1,1,5,4,2,2,2,1,1,3,4
回答者576,1,29,2,2,9,9,12,2,12,2,1,3,3,4,2,3,5,4,4,5,6,3,5,5,3,3,2,2,2,4,4,3,4,2,3,4,2,4
回答者577,1,29,2,2,9,9,12,2,12,2,2,3,3,3,2,3,3,4,5,3,5,4,5,3,7,3,4,3,3,2,4,3,3,5,3,3,3,4
回答者578,1,27,2,2,9,9,12,2,13,3,3,2,4,1,4,3,2,3,5,3,3,3,4,5,3,2,4,2,3,4,2,2,4,1,4,2,3,3
回答者579,2,26,2,2,9,9,14,2,13,3,4,4,4,1,3,3,3,1,5,4,8,1,4,2,3,4,3,2,3,4,2,4,5,4,4,2,5,1
回答者580,1,25,2,2,9,9,14,2,14,2,1,2,3,3,3,5,5,4,5,1,4,5,5,5,3,1,3,2,3,4,3,3,3,3,3,3,3,3
回答者581,1,25,2,2,9,9,11,2,13,3,2,2,4,3,3,3,2,2,2,3,4,3,3,4,4,3,2,3,3,3,3,2,2,3,2,3,3,3
回答者582,2,26,2,2,9,9,12,2,12,2,3,3,2,3,2,1,2,2,3,1,2,2,4,4,5,5,3,3,3,4,4,2,3,3,3,4,3,3
回答者583,2,28,2,2,9,9,9,2,9,2,3,3,5,3,3,3,4,4,4,3,8,3,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者584,1,34,3,2,9,9,11,2,11,2,2,3,3,1,1,2,2,1,2,2,1,2,3,3,3,3,1,2,2,3,2,2,2,2,2,2,1,1
回答者585,1,32,3,2,9,9,14,2,13,3,2,2,2,2,1,2,2,1,2,5,8,4,5,5,3,2,1,2,1,4,3,2,1,2,1,1,2,2
回答者586,1,30,3,2,9,9,11,2,11,2,2,3,3,4,2,3,3,4,3,3,4,3,4,3,3,2,4,3,3,4,3,4,4,4,4,4,5,5
回答者587,2,30,3,2,9,9,12,2,13,3,2,2,2,5,5,2,3,3,1,2,1,1,3,1,3,1,5,3,2,2,2,2,2,2,2,2,4,2
回答者588,2,34,3,2,9,9,12,2,12,2,5,5,5,3,5,5,5,1,5,2,8,1,3,2,7,3,5,5,5,5,4,3,5,5,2,4,5,4
回答者589,1,34,3,2,9,9,14,2,13,3,2,3,4,2,3,3,3,3,3,3,4,5,5,5,3,4,4,3,3,3,3,3,3,3,3,3,3,3
回答者590,2,34,3,2,9,9,14,2,14,2,1,3,3,2,3,2,2,1,4,2,2,1,3,3,2,1,3,4,3,4,2,2,3,2,3,2,2,3
回答者591,1,34,3,2,9,9,14,2,13,3,5,1,1,1,3,1,3,1,1,1,1,1,4,3,6,3,2,2,5,4,3,2,2,2,4,3,4,1
回答者592,1,31,3,2,9,9,12,2,12,2,2,2,1,2,1,3,1,1,1,1,2,1,5,2,1,2,1,2,1,2,1,1,3,2,1,2,2,1
回答者593,1,34,3,2,9,9,10,2,10,2,2,2,5,2,2,2,2,1,5,3,4,2,5,5,3,2,3,2,2,5,3,3,5,3,3,3,3,3
回答者594,2,33,3,2,9,9,12,2,13,3,3,3,3,3,3,4,4,3,3,3,4,5,5,5,6,3,3,3,4,4,3,3,3,4,4,3,4,3
回答者595,2,31,3,2,9,9,14,2,14,2,2,2,2,2,2,2,2,1,2,2,6,4,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者596,1,31,3,2,9,9,11,2,11,2,4,4,5,1,2,5,4,1,3,2,1,1,2,1,6,4,2,4,4,5,3,3,5,5,4,5,5,3
回答者597,2,33,3,2,9,9,14,2,13,3,5,5,5,5,5,5,2,4,5,2,1,4,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者598,1,31,3,2,9,9,8,2,8,2,2,2,2,4,3,3,3,1,3,1,3,1,2,2,2,1,4,1,3,3,3,2,2,2,3,3,3,2
回答者599,2,36,4,2,9,9,12,2,13,3,1,1,3,4,5,1,2,3,2,3,2,3,4,3,2,1,2,1,1,1,1,1,1,2,2,1,1,1
回答者600,1,39,4,2,9,9,10,2,10,2,3,3,3,3,3,3,1,1,1,1,1,1,5,5,5,2,2,2,1,2,1,2,2,2,1,2,2,2
回答者601,2,39,4,2,9,9,11,2,13,3,2,4,4,3,2,2,3,3,4,3,3,3,5,4,2,3,3,2,4,4,3,2,3,4,2,3,4,3
回答者602,1,39,4,2,9,9,11,2,13,3,2,2,2,1,2,2,3,3,5,4,5,2,3,2,3,1,2,1,4,4,2,1,2,2,2,2,2,2
回答者603,2,37,4,2,9,9,14,2,13,3,2,2,3,3,2,3,2,1,2,1,8,2,5,2,6,2,4,2,2,2,2,2,2,2,2,2,3,3
回答者604,1,37,4,2,9,9,11,2,13,3,1,2,2,1,2,3,2,3,2,4,5,4,2,2,4,2,4,2,3,1,2,1,2,2,4,4,2,3
回答者605,1,38,4,2,9,9,11,2,11,2,2,2,4,3,3,3,2,3,4,2,4,2,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
回答者606,1,36,4,2,9,9,10,2,10,2,3,3,2,2,3,2,3,2,4,3,2,3,3,3,2,2,3,3,4,3,3,3,2,3,3,3,2,2
回答者607,1,35,4,2,9,9,14,2,14,2,2,4,3,2,2,3,2,3,3,2,8,2,4,3,4,4,4,5,4,5,2,4,5,5,1,5,5,1
回答者608,1,39,4,2,9,9,8,2,8,2,3,3,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,5,5,3
回答者609,1,39,4,2,9,9,14,2,14,2,5,5,4,4,5,4,4,4,5,3,4,2,4,4,4,2,4,5,5,5,5,5,5,5,5,5,5,5
回答者610,2,38,4,2,9,9,12,2,13,3,2,2,2,4,3,5,4,3,3,2,1,5,5,5,6,4,2,3,3,3,2,3,3,3,3,2,2,4
回答者611,2,36,4,2,9,9,10,2,11,2,5,5,5,2,4,5,2,2,5,2,8,1,1,3,5,3,5,3,5,5,2,5,4,5,5,5,5,3
回答者612,1,39,4,2,9,9,12,2,13,3,2,3,2,2,2,2,2,1,2,2,8,3,5,5,2,2,2,4,5,5,1,4,3,2,4,2,3,4
回答者613,1,39,4,2,9,9,10,2,10,2,2,2,3,3,2,4,2,2,1,2,3,2,2,2,2,4,2,3,3,2,3,2,2,2,2,4,4,4
回答者614,1,36,4,2,9,9,11,2,11,2,2,2,3,2,1,2,1,1,2,1,2,2,5,5,3,1,2,3,2,1,2,2,1,2,2,1,1,1
回答者615,1,41,5,2,9,9,11,2,13,3,3,3,3,3,3,3,3,1,1,1,1,1,3,1,3,3,3,1,3,2,3,3,3,3,3,3,3,3
回答者616,2,44,5,2,9,9,14,2,13,3,1,1,1,1,3,1,1,1,1,3,4,3,5,5,7,1,1,1,1,1,3,1,1,1,5,1,1,3
回答者617,1,41,5,2,9,9,12,2,12,2,2,2,2,2,4,4,2,1,2,3,6,3,4,3,2,2,2,2,2,4,3,3,3,2,2,2,3,2
回答者618,1,40,5,2,9,9,14,2,14,2,3,3,3,3,4,4,3,4,5,3,8,3,5,5,5,3,3,2,3,3,3,2,3,2,3,2,4,3
回答者619,1,40,5,2,9,9,11,2,11,2,3,3,5,2,5,4,3,4,2,1,1,5,5,5,5,2,2,5,5,5,1,5,5,4,4,3,5,5
回答者620,1,41,5,2,9,9,14,2,13,3,2,3,2,1,2,3,2,2,4,2,4,2,3,2,3,3,2,2,3,3,2,3,3,3,2,2,3,3
回答者621,1,40,5,2,9,9,14,2,13,3,3,3,3,3,3,3,3,4,4,2,4,3,5,5,6,3,3,3,3,2,3,3,2,3,3,3,3,3
回答者622,2,40,5,2,9,9,14,2,14,2,2,2,3,2,2,4,2,1,3,2,8,4,2,3,1,2,1,2,2,2,3,2,1,2,2,2,1,4
回答者623,1,41,5,2,9,9,9,2,9,2,3,4,3,3,3,3,3,1,5,3,1,3,2,4,4,3,4,4,4,4,2,3,3,4,4,4,3,3
回答者624,2,44,5,2,9,9,14,2,13,3,1,1,1,1,3,5,1,1,1,1,1,3,5,5,6,1,1,1,1,1,1,1,1,1,1,1,1,5
回答者625,1,43,5,2,9,9,14,2,13,3,4,4,4,4,4,5,3,3,4,1,1,1,3,2,4,2,2,3,3,3,3,3,3,3,3,3,3,3
回答者626,1,44,5,2,9,9,8,2,8,2,5,5,3,3,3,4,3,1,5,1,3,4,5,5,6,3,1,4,5,5,1,5,5,5,2,2,4,3
回答者627,1,43,5,2,9,9,12,2,12,2,2,2,5,4,5,4,4,3,5,2,4,2,5,5,5,2,2,2,4,3,3,2,2,2,2,2,3,2
回答者628,1,47,6,2,9,9,12,2,13,3,4,4,5,3,2,5,1,1,5,5,8,3,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,3
回答者629,1,47,6,2,9,9,11,2,13,3,2,3,4,4,3,3,3,4,2,4,2,3,5,4,6,3,2,4,3,3,3,4,3,3,3,3,4,3
回答者630,2,49,6,2,9,9,14,2,13,3,3,4,4,3,2,3,4,3,4,3,8,4,4,3,4,2,4,3,3,4,2,3,4,3,4,3,3,2
回答者631,2,48,6,2,9,9,12,2,12,2,2,3,3,3,4,2,2,3,4,2,4,4,5,4,2,2,2,3,2,3,2,2,2,3,2,2,2,2
回答者632,2,49,6,2,9,9,14,2,13,3,3,4,3,4,2,3,4,3,4,3,8,4,3,3,3,2,4,3,3,4,2,3,3,3,4,4,3,2
回答者633,2,48,6,2,9,9,12,2,13,3,2,3,2,2,2,5,4,3,3,2,4,4,4,4,2,2,2,2,2,3,2,2,2,3,2,2,3,4
回答者634,2,48,6,2,9,9,12,2,12,2,3,2,2,2,3,2,2,4,4,4,8,4,5,5,2,2,2,3,2,2,3,2,3,2,2,2,2,2
回答者635,1,47,6,2,9,9,14,2,13,3,2,2,4,3,3,3,4,3,5,1,4,4,5,5,6,2,2,2,3,3,2,2,2,2,2,2,2,2
回答者636,2,48,6,2,9,9,11,2,8,2,3,5,5,1,3,3,2,1,5,1,1,1,2,1,6,3,2,4,5,5,1,4,5,4,1,3,5,5
回答者637,1,49,6,2,9,9,12,2,12,2,3,4,4,5,4,4,5,4,4,2,4,3,5,5,6,3,4,3,4,4,4,3,3,4,3,3,4,3
回答者638,2,49,6,2,9,9,14,2,14,2,2,3,3,3,3,3,4,4,4,2,4,4,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者639,1,49,6,2,9,9,12,2,12,2,4,4,4,5,4,4,5,4,4,2,4,3,5,5,6,3,4,3,3,3,3,3,3,4,4,3,4,3
回答者640,1,48,6,2,9,9,14,2,13,3,3,3,4,3,3,3,4,4,3,3,4,4,5,4,6,2,3,4,3,3,3,3,3,3,3,3,3,3
回答者641,1,45,6,2,9,9,12,2,12,2,2,2,4,4,4,2,3,3,2,3,5,3,5,4,4,4,2,3,3,4,4,2,3,4,2,3,3,2
回答者642,1,49,6,2,9,9,8,2,8,2,2,2,2,2,1,1,2,1,2,1,4,3,5,5,2,2,2,5,2,2,2,5,5,5,2,1,3,3
回答者643,1,49,6,2,9,9,14,2,14,2,2,2,2,2,1,3,4,3,2,2,4,5,5,5,2,2,2,2,2,3,2,2,1,2,2,1,2,3
回答者644,1,46,6,2,9,9,14,2,14,2,3,3,5,3,3,3,3,4,5,3,8,4,5,5,6,3,3,5,3,3,3,3,3,3,3,3,3,3
回答者645,1,48,6,2,9,9,8,2,13,3,5,5,5,1,1,1,1,1,5,1,6,1,1,1,7,1,1,3,5,5,1,5,5,5,1,1,5,1
回答者646,1,48,6,2,9,9,12,2,12,2,5,5,5,2,3,2,4,2,4,4,4,2,2,2,4,4,5,2,5,5,3,1,2,2,2,4,3,2
回答者647,1,45,6,2,9,9,14,2,14,2,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3
回答者648,1,47,6,2,9,9,11,2,13,3,3,2,4,3,1,2,3,3,3,1,8,1,3,1,6,2,2,2,3,3,2,2,3,2,1,1,2,3
回答者649,1,49,6,2,9,9,12,2,13,3,1,2,1,1,1,1,1,1,4,1,1,1,2,1,7,2,1,3,2,3,1,1,3,3,1,1,3,1
回答者650,1,51,7,2,9,9,12,2,12,2,3,3,4,3,3,3,3,4,5,2,1,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3
回答者651,1,50,7,2,9,9,11,2,11,2,3,3,5,2,5,5,5,3,3,3,4,4,5,4,4,5,5,5,4,4,2,4,4,4,3,5,5,4
回答者652,2,51,7,2,9,9,14,2,13,3,2,2,3,4,3,5,4,3,5,1,4,3,5,5,3,2,2,2,2,3,3,1,3,2,2,2,2,4
回答者653,1,54,7,2,9,9,11,2,11,2,2,2,4,1,3,3,2,1,3,2,1,2,3,1,4,2,3,3,4,2,2,3,3,4,3,3,4,5
回答者654,1,54,7,2,9,9,14,2,13,3,2,2,2,2,2,3,2,1,3,4,6,1,2,1,1,2,2,1,2,2,3,1,2,2,1,1,2,1
回答者655,2,54,7,2,9,9,14,2,13,3,4,5,5,5,5,5,3,4,4,3,4,3,5,5,4,4,5,3,4,4,3,3,4,5,4,3,3,4
回答者656,1,52,7,2,9,9,14,2,14,2,2,2,3,4,2,2,2,4,4,4,6,3,5,3,4,2,3,4,3,2,2,3,2,2,2,3,3,3
回答者657,2,53,7,2,9,9,11,2,11,2,1,1,1,1,1,1,2,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
回答者658,1,54,7,2,9,9,12,2,13,3,3,3,4,3,3,3,2,3,2,3,1,2,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3
回答者659,1,51,7,2,9,9,14,2,14,2,3,3,1,1,2,2,1,1,3,1,2,1,2,2,2,2,2,3,2,2,2,4,3,3,2,2,3,2
回答者660,2,50,7,2,9,9,11,2,13,3,3,4,5,5,5,2,4,4,4,2,4,5,5,5,5,3,5,3,3,4,3,3,4,4,4,5,5,3
回答者661,2,52,7,2,9,9,8,2,8,2,3,3,3,2,3,3,3,4,3,3,1,2,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
回答者662,2,52,7,2,9,9,14,2,14,2,2,2,2,2,3,1,2,3,4,2,4,2,4,4,4,2,1,1,1,2,2,3,2,2,1,2,2,2
回答者663,2,51,7,2,9,9,14,2,13,3,2,2,3,4,4,5,4,3,4,2,4,2,5,5,2,1,2,2,3,2,3,1,2,2,2,2,2,5
回答者664,1,53,7,2,9,9,10,2,10,2,4,2,2,3,4,3,4,4,4,4,4,4,5,5,6,2,3,4,3,4,2,4,1,3,4,3,3,3
回答者665,1,53,7,2,9,9,8,2,13,3,4,2,5,4,3,4,4,4,5,4,5,5,5,5,7,3,4,3,3,3,3,3,3,3,3,2,2,4
回答者666,1,53,7,2,9,9,11,2,13,3,2,2,2,2,3,3,2,1,3,2,4,2,3,2,3,2,2,2,3,3,3,3,3,3,2,2,2,2
回答者667,1,51,7,2,9,9,9,2,9,2,3,3,3,3,3,3,3,4,3,3,8,3,4,3,3,3,3,4,3,2,3,3,4,3,2,3,3,3
回答者668,1,51,7,2,9,9,11,2,13,3,2,2,2,2,2,2,3,1,2,2,8,2,3,3,2,3,2,3,3,3,3,4,3,3,3,3,3,3
回答者669,1,52,7,2,9,9,11,2,11,2,4,3,4,3,3,3,3,4,5,2,4,2,3,1,7,3,3,4,4,3,3,3,2,3,3,3,3,3
回答者670,1,50,7,2,9,9,11,2,13,3,3,2,3,2,2,2,3,1,2,4,2,2,4,3,2,3,3,3,2,3,2,3,2,2,2,2,2,2
回答者671,1,50,7,2,9,9,12,2,12,2,2,3,1,3,2,3,3,1,2,1,8,5,5,5,3,2,2,2,2,2,1,3,2,3,2,2,3,3
回答者672,1,50,7,2,9,9,11,2,13,3,2,2,3,3,4,4,4,4,4,1,4,4,5,5,5,2,3,2,3,2,2,2,2,2,3,3,3,3
回答者673,1,51,7,2,9,9,11,2,11,2,2,2,2,3,2,2,3,4,3,2,4,3,5,4,3,2,2,2,2,2,4,3,2,2,2,2,2,2
回答者674,1,52,7,2,9,9,11,2,11,2,1,1,1,1,1,3,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
回答者675,1,54,7,2,9,9,11,2,11,2,4,4,4,4,4,4,3,4,2,2,8,2,5,5,3,3,4,3,2,2,3,3,3,2,3,2,2,3
回答者676,1,59,8,2,9,9,14,2,14,2,2,3,3,2,2,2,2,2,3,3,2,4,2,1,4,5,4,3,5,5,3,4,4,4,2,4,5,1
回答者677,1,58,8,2,9,9,14,2,13,3,2,4,4,3,1,2,1,3,2,3,4,2,4,2,1,1,2,3,4,3,1,4,4,3,2,2,3,2
回答者678,1,57,8,2,9,9,12,2,13,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
回答者679,1,55,8,2,9,9,14,2,13,3,3,3,4,5,4,5,4,4,3,2,4,4,5,5,3,3,3,3,3,3,3,3,3,3,2,2,3,3
回答者680,2,59,8,2,9,9,14,2,14,2,2,3,5,5,4,4,5,4,5,1,1,3,5,5,5,2,3,3,3,3,3,3,4,3,3,3,3,3
回答者681,2,58,8,2,9,9,14,2,14,2,1,3,3,5,4,4,5,4,5,2,4,1,5,5,2,5,4,3,5,4,3,3,3,4,1,1,2,3
回答者682,1,57,8,2,9,9,12,2,13,3,4,3,2,4,3,3,4,4,4,2,1,4,5,4,5,4,5,2,3,4,3,2,4,3,3,4,3,3
回答者683,1,59,8,2,9,9,8,2,8,2,1,2,2,2,2,2,2,2,2,1,2,1,5,3,2,1,1,2,1,1,1,1,1,2,2,2,2,3
回答者684,2,57,8,2,9,9,11,2,11,2,2,3,1,2,2,3,3,2,2,1,8,2,4,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2
回答者685,2,57,8,2,9,9,14,2,14,2,4,4,5,5,5,5,5,4,4,2,4,2,5,5,3,5,4,4,4,4,2,3,3,4,2,2,3,3
回答者686,1,55,8,2,9,9,14,2,14,2,2,2,4,3,3,3,3,3,3,3,4,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者687,1,58,8,2,9,9,11,2,11,2,2,2,3,2,2,4,3,3,4,2,6,3,2,2,6,1,2,3,3,5,1,3,4,5,2,3,5,2
回答者688,1,58,8,2,9,9,14,2,13,3,5,5,5,5,5,5,3,4,5,3,6,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者689,1,58,8,2,9,9,14,2,22,4,4,4,4,2,3,4,3,1,3,2,8,2,4,3,4,3,2,4,4,4,2,3,3,3,4,4,4,4
回答者690,1,55,8,2,9,9,14,2,14,2,2,1,2,2,3,4,2,1,3,5,8,2,4,2,1,2,2,2,2,2,2,3,2,2,3,1,2,2
回答者691,1,56,8,2,9,9,12,2,13,3,1,1,2,5,1,4,2,4,3,1,1,3,5,4,1,1,1,1,3,2,3,1,2,1,1,1,1,3
回答者692,1,55,8,2,9,9,11,2,10,2,4,3,4,3,4,5,4,1,5,2,3,5,5,5,5,5,4,5,4,4,1,5,5,4,5,5,5,5
回答者693,1,60,9,2,9,9,11,2,13,3,1,1,1,1,2,4,2,1,2,2,1,2,2,2,2,2,2,3,2,2,1,3,3,3,3,3,3,2
回答者694,1,61,9,2,9,9,12,2,13,3,3,3,3,3,3,4,3,3,4,2,6,2,3,2,2,3,3,3,2,3,3,3,2,3,2,2,3,3
回答者695,2,62,9,2,9,9,11,2,13,3,4,5,4,2,3,5,4,1,5,1,3,4,5,2,4,4,2,3,4,5,1,4,3,4,5,3,3,4
回答者696,1,63,9,2,9,9,14,2,14,2,3,3,3,3,3,4,3,4,3,2,4,4,5,5,7,2,3,3,3,4,3,3,3,3,2,2,4,3
回答者697,1,63,9,2,9,9,8,2,8,2,5,2,2,2,3,3,2,4,2,1,5,2,2,1,4,4,2,2,5,5,3,2,3,2,1,1,3,3
回答者698,1,64,9,2,9,9,14,2,13,3,2,4,4,2,2,3,3,1,4,2,2,4,5,5,6,3,4,2,3,3,3,2,3,3,2,2,2,2
回答者699,2,62,9,2,9,9,11,2,13,3,2,4,3,2,4,5,4,1,5,1,3,4,5,3,4,4,4,3,2,5,1,4,3,5,4,3,2,5
