質問項目,性別,年齢,年代,職業,職種,従業員数（民間企業）,居住地,居住地（7区分）,勤務地,勤務地（7区分）,1.あなたの職場では、ポジションごとに求められる役割や、その役割の遂行に当たり必要な知識・スキルが明確に示されている。,2.あなたは、現在従事するポジションに求められる役割の遂行に当たり必要な知識・スキルを習得するために、トレーニングの機会を与えられるなど、組織から十分なサポートを受けている。,3.あなたが公務組織（民間企業）で身に付けた知識・スキルは、民間企業（公務組織）でも活かせると思う。,4.あなたは、リスキリング（新しい仕事をするために学ぶこと、職業能力の再開発・再教育）に関心がある。,5.あなたは、業務に関する知識・スキルの保有状況を組織内で共有・公開したいと思う。（その情報は、例えば人事異動の検討などに活用することが想定されます。）,6.あなたは、業務と関係のない特技や趣味といった、業務外でのあなた自身のことを深く知ることにつながる情報を組織内で共有・公開したいと思う。（組織内でのコミュニケーション活性化に活用することが想定されます。）,7.あなたは、将来、どのような職務に従事したいか、そのために今からどのようなキャリアを歩みたいかについて、具体的に考えている。,8.あなたは、自分自身のキャリアやスキルアップのための自己研鑽（業務として行うものではないもの）に取り組んでいますか。,9.あなたの職場では、自分自身のキャリア（例えば将来歩みたいキャリアパスなど）について上司や人事担当者などに気軽に相談できる機会や仕組みがある。,10.あなたは、選べるとしたら、１つの部署に長年在籍して特定の専門分野を極めたいですか。それとも、様々な部署を経験し、その組織全体の総合的な知識を身に付けたいですか。,11.次の８つの選択肢のうち、「働くうえで、自分にとって最も重要と感じること」を１つ選択してください。,12.あなたは、「転職」や「人材の流動化」について、ポジティブとネガティブのどちらの印象をより強くお持ちですか。,13.あなた自身は、今後、転職することを考えていますか。,14.あなたは、民間企業（各府省庁（国家公務員））への転職に関心がある。,15.あなたは、あなたの所属する組織のミッション・ビジョン・バリューやパーパスに共感している。,16.あなたは、仕事を進めるにあたり十分な裁量を与えられている。,17.あなたは、いまの職場の仕事に熱中することができている。,18.あなたは、これまでの自分自身の人事異動に納得している。,19.あなたの職場では、業務効率化の取組みが積極的に行われている。,20.あなたの職場では、適切な人員配置が行われている。,21.あなたは、上司や人事担当者には、従業員（職員）一人一人のキャリア志向、成した成果などについて、もっと丁寧に向き合ってほしいと思う。,22.あなたは、これまでの自分自身に対する人事評価に納得している。,23.あなたの職場では、従業員（職員）を大切にする風土がある。,24.あなたの職場では、何事も気軽に相談できる雰囲気がある。,25.あなたは、現在の勤務時間や勤務場所に不都合を感じることはない（状況に合わせた柔軟な働き方ができている）。,26.あなたは、いまの職場で働くことに満足している。,27.あなたは、現在の職場を親しい友人や知人に勧めたいと思う。,28.従業員（職員）の満足度ややりがいを高める目的で、人事部門があなたの個人情報の提供を求めたり、実際に収集し分析したりすることに抵抗はない。
回答者850,1,56,8,2,9,9,20,4,20,4,2,2,2,3,2,4,3,1,2,4,2,3,4,3,2,2,2,3,3,3,2,3,3,3,3,3,3,3
回答者851,1,55,8,2,9,9,23,4,23,4,2,3,2,2,3,3,3,3,3,3,4,3,2,2,3,2,2,3,3,3,3,3,3,3,4,2,3,2
回答者852,1,58,8,2,9,9,23,4,23,4,3,3,4,3,3,3,5,4,3,1,4,3,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者853,1,59,8,2,9,9,21,4,21,4,3,3,3,2,3,3,3,3,3,2,8,3,4,2,3,3,3,4,3,3,2,4,3,3,3,3,3,3
回答者854,1,58,8,2,9,9,23,4,23,4,2,3,2,2,2,2,3,1,3,1,1,2,3,1,3,2,1,2,3,3,2,2,3,3,3,3,3,2
回答者855,1,57,8,2,9,9,23,4,23,4,5,5,5,5,5,5,5,4,5,1,4,3,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者856,1,64,9,2,9,9,23,4,23,4,2,2,4,4,4,3,4,4,3,3,4,2,1,2,4,3,2,3,2,3,3,3,3,2,2,2,3,3
回答者857,1,63,9,2,9,9,15,4,15,4,2,2,2,3,4,4,3,4,3,3,1,5,5,5,5,2,2,2,2,3,2,3,2,2,2,2,2,2
回答者858,1,61,9,2,9,9,17,4,17,4,1,2,3,5,2,2,4,4,4,3,4,4,5,5,2,2,2,2,2,2,2,2,2,2,1,1,3,2
回答者859,1,62,9,2,9,9,23,4,23,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者860,1,63,9,2,9,9,20,4,20,4,1,4,2,2,1,3,3,3,3,2,8,4,4,4,2,2,2,2,4,2,2,2,2,3,4,2,3,2
回答者861,1,62,9,2,9,9,15,4,15,4,2,3,2,2,3,3,3,3,4,3,3,2,4,3,4,3,4,4,3,3,3,4,3,4,3,4,4,4
回答者862,1,64,9,2,9,9,15,4,15,4,1,2,2,3,1,2,2,1,3,1,5,1,2,2,2,2,2,2,3,3,2,2,3,3,2,2,3,3
回答者863,1,61,9,2,9,9,23,4,23,4,2,3,4,3,3,3,4,4,3,5,8,5,5,5,4,3,2,3,4,3,3,3,3,3,3,3,3,3
回答者864,1,60,9,2,9,9,23,4,23,4,2,3,4,3,3,4,4,3,2,2,1,3,4,4,4,2,2,3,3,2,2,3,3,3,3,3,3,2
回答者865,2,23,1,2,9,9,27,5,27,5,2,2,2,3,3,3,4,3,2,3,2,2,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者866,1,24,1,2,9,9,28,5,28,5,5,5,5,5,5,5,3,3,3,3,4,3,4,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者867,1,29,2,2,9,9,27,5,27,5,5,4,5,4,2,2,4,3,2,4,4,2,5,5,4,4,5,2,2,4,2,2,3,3,4,3,2,3
回答者868,2,29,2,2,9,9,27,5,27,5,2,2,5,5,5,5,5,3,3,4,4,5,5,5,7,3,3,3,3,3,3,3,3,3,3,3,4,3
回答者869,2,27,2,2,9,9,27,5,27,5,2,1,3,2,2,2,2,4,2,2,8,2,5,5,2,1,2,1,2,2,1,2,1,2,1,1,2,2
回答者870,2,27,2,2,9,9,27,5,26,5,2,3,3,3,3,4,3,3,2,2,7,4,1,2,7,4,3,3,3,3,3,3,3,4,4,2,3,3
回答者871,1,27,2,2,9,9,26,5,26,5,2,2,1,1,1,3,1,2,2,1,2,2,2,2,2,3,1,2,3,2,2,1,1,2,1,3,2,2
回答者872,1,29,2,2,9,9,27,5,26,5,1,1,1,1,1,1,1,1,1,1,7,1,1,1,5,2,5,2,5,5,1,2,3,4,4,4,3,5
回答者873,1,32,3,2,9,9,27,5,27,5,5,5,5,5,5,5,4,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者874,1,32,3,2,9,9,27,5,27,5,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,3,1,2,3,2,3,4,1
回答者875,2,33,3,2,9,9,27,5,27,5,2,3,3,2,2,4,2,1,2,2,4,2,1,2,3,4,4,3,3,4,3,3,5,4,4,5,5,4
回答者876,1,34,3,2,9,9,27,5,27,5,3,1,3,3,3,2,5,4,5,3,4,3,3,3,3,3,2,3,3,3,2,3,3,3,2,3,3,2
回答者877,1,33,3,2,9,9,27,5,27,5,3,3,3,3,3,5,2,1,2,4,5,2,2,3,3,2,3,3,3,3,3,3,4,2,3,3,3,3
回答者878,2,32,3,2,9,9,27,5,29,5,3,3,4,2,4,3,3,3,4,4,4,2,4,2,4,4,2,3,4,4,1,2,3,3,3,3,3,3
回答者879,1,36,4,2,9,9,27,5,27,5,5,5,5,5,5,5,5,4,5,5,8,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者880,1,37,4,2,9,9,28,5,28,5,2,4,4,4,4,4,4,4,4,1,1,5,5,5,6,3,4,2,2,3,3,2,4,4,2,2,4,4
回答者881,1,35,4,2,9,9,26,5,26,5,3,2,5,3,3,2,2,1,2,2,1,1,1,1,2,3,3,2,3,3,3,2,4,3,3,4,3,3
回答者882,1,37,4,2,9,9,27,5,27,5,4,4,4,4,4,4,3,4,4,4,4,5,4,5,5,3,4,4,4,4,4,4,4,4,3,3,3,4
回答者883,2,37,4,2,9,9,28,5,28,5,3,3,2,3,3,2,3,1,5,2,4,3,5,5,3,3,3,3,3,3,3,3,3,3,3,4,3,3
回答者884,2,37,4,2,9,9,27,5,27,5,1,1,2,2,2,4,2,1,2,1,1,5,5,5,1,1,1,4,3,2,3,2,1,1,4,1,1,4
回答者885,1,35,4,2,9,9,28,5,28,5,5,3,3,3,4,3,3,2,2,2,3,2,4,2,2,2,2,3,2,1,2,3,3,2,3,2,2,3
回答者886,1,38,4,2,9,9,29,5,25,5,3,3,4,4,4,4,4,4,3,2,8,5,5,5,6,3,2,4,3,3,4,3,3,3,3,3,3,3
回答者887,2,36,4,2,9,9,27,5,27,5,2,2,4,2,2,1,2,1,2,2,4,2,5,5,1,2,1,2,2,2,1,2,3,2,1,1,3,3
回答者888,2,43,5,2,9,9,26,5,25,5,4,3,5,2,1,3,2,1,3,2,6,2,4,2,5,2,2,2,2,4,2,3,5,3,4,3,3,3
回答者889,1,41,5,2,9,9,27,5,27,5,2,2,2,3,2,3,3,3,2,1,2,3,4,3,5,3,2,2,3,2,2,3,2,2,4,2,2,3
回答者890,2,40,5,2,9,9,27,5,27,5,3,2,4,4,3,3,4,3,4,1,8,2,5,4,3,2,2,3,3,3,3,3,3,3,2,2,2,3
回答者891,1,42,5,2,9,9,28,5,28,5,3,4,4,2,4,4,3,1,5,2,4,5,5,3,5,2,2,3,4,4,2,4,3,4,2,2,4,2
回答者892,1,43,5,2,9,9,27,5,27,5,5,5,5,1,2,3,3,2,4,4,4,1,3,1,6,3,3,4,4,4,1,4,3,4,2,4,4,2
回答者893,1,40,5,2,9,9,28,5,28,5,2,2,4,1,1,1,2,3,4,4,4,2,5,2,2,1,1,1,3,3,2,1,2,3,4,2,1,4
回答者894,2,42,5,2,9,9,27,5,27,5,3,3,4,3,3,3,3,3,3,3,4,4,5,5,3,3,3,3,3,3,3,3,3,3,3,2,2,3
回答者895,1,41,5,2,9,9,28,5,28,5,4,5,4,3,2,4,4,4,4,4,5,4,5,4,5,4,5,4,5,4,2,4,4,4,4,3,4,3
回答者896,1,44,5,2,9,9,28,5,27,5,4,4,5,1,3,3,5,4,3,1,8,2,2,1,7,3,4,4,4,4,5,3,3,3,4,5,5,4
回答者897,1,44,5,2,9,9,27,5,27,5,2,3,2,2,3,4,3,3,4,3,8,4,3,5,4,3,3,3,4,4,2,3,4,4,3,4,4,3
回答者898,1,41,5,2,9,9,27,5,27,5,3,2,1,3,2,3,2,2,4,3,6,3,5,3,2,3,2,3,3,2,3,3,2,2,3,3,2,2
回答者899,1,44,5,2,9,9,27,5,27,5,2,2,2,2,2,2,2,3,2,4,6,2,5,5,6,2,2,2,2,2,2,2,2,3,2,2,2,2
回答者900,1,45,6,2,9,9,28,5,28,5,3,3,2,3,3,3,4,4,5,3,3,5,5,5,3,3,2,3,2,3,3,3,3,2,3,3,2,3
回答者901,1,48,6,2,9,9,29,5,27,5,3,3,4,3,3,3,4,1,5,1,1,4,5,5,6,4,3,3,3,3,3,3,3,3,3,3,3,3
回答者902,1,46,6,2,9,9,27,5,27,5,4,3,2,4,3,4,4,3,4,2,4,3,5,5,4,2,4,3,3,3,2,3,3,2,2,2,3,4
回答者903,1,48,6,2,9,9,26,5,26,5,1,3,1,2,1,1,1,1,5,1,1,5,5,5,1,1,1,1,1,4,1,5,4,3,2,1,1,1
回答者904,1,45,6,2,9,9,27,5,27,5,4,4,2,3,2,3,2,1,2,1,3,3,3,3,2,2,2,3,4,4,2,2,3,3,4,2,3,3
回答者905,2,54,7,2,9,9,30,5,30,5,4,3,4,2,2,4,3,1,3,3,4,2,5,4,3,4,4,4,3,3,2,2,3,4,2,2,3,2
回答者906,1,52,7,2,9,9,27,5,27,5,2,3,4,3,3,3,3,4,4,2,4,4,5,5,6,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者907,1,54,7,2,9,9,27,5,27,5,2,4,3,2,3,3,3,3,3,4,4,3,4,3,6,4,3,3,5,3,2,3,3,2,2,2,2,4
回答者908,1,51,7,2,9,9,27,5,26,5,5,5,5,5,5,5,5,4,5,5,8,5,4,5,3,4,5,4,5,5,5,5,5,5,5,5,5,5
回答者909,2,51,7,2,9,9,26,5,26,5,4,4,3,3,2,4,4,2,3,2,2,4,5,5,6,2,3,3,2,4,2,3,3,3,2,2,3,4
回答者910,1,50,7,2,9,9,27,5,27,5,1,1,4,1,1,1,1,1,2,4,8,2,3,3,4,3,2,3,1,4,2,1,1,1,1,1,1,2
回答者911,1,52,7,2,9,9,28,5,28,5,3,3,4,4,4,5,5,4,4,3,4,4,4,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3
回答者912,1,52,7,2,9,9,27,5,27,5,2,2,2,4,3,4,3,3,3,1,4,4,5,4,2,2,2,2,2,2,3,2,2,2,2,1,3,3
回答者913,1,58,8,2,9,9,28,5,28,5,3,3,3,4,2,4,5,4,5,5,3,3,5,5,3,3,2,5,3,4,1,5,4,3,3,3,4,3
回答者914,1,57,8,2,9,9,27,5,26,5,4,4,4,4,4,4,4,4,5,3,4,5,5,5,6,2,3,3,4,3,3,3,3,3,3,2,3,2
回答者915,1,56,8,2,9,9,28,5,27,5,3,3,2,4,4,4,3,3,3,1,4,3,3,3,6,3,4,4,4,4,3,1,4,4,5,4,3,3
回答者916,2,55,8,2,9,9,29,5,29,5,2,2,1,2,1,3,2,1,2,3,6,2,3,3,2,2,2,2,2,2,4,1,2,2,1,1,3,3
回答者917,1,56,8,2,9,9,28,5,28,5,2,2,4,3,3,3,3,4,2,3,8,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者918,1,59,8,2,9,9,27,5,26,5,2,3,3,3,3,4,3,3,3,1,4,3,5,5,3,2,2,4,3,3,2,4,3,3,2,2,3,3
回答者919,1,59,8,2,9,9,28,5,27,5,2,4,2,2,1,4,2,1,5,3,2,4,2,1,2,5,2,5,5,5,1,5,5,5,4,4,5,1
回答者920,1,56,8,2,9,9,29,5,29,5,2,2,3,2,3,3,2,2,2,1,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者921,1,60,9,2,9,9,27,5,27,5,3,3,1,3,3,3,2,3,1,2,4,3,5,5,7,2,2,2,2,2,2,2,1,2,2,1,2,1
回答者922,1,61,9,2,9,9,27,5,27,5,2,2,4,4,4,4,5,4,3,2,4,4,5,5,2,4,4,2,4,3,3,3,3,3,3,3,3,3
回答者923,1,63,9,2,9,9,27,5,30,5,2,2,2,2,2,3,2,1,3,2,6,4,5,5,2,1,1,2,2,2,3,2,2,2,2,2,2,2
回答者924,1,60,9,2,9,9,28,5,28,5,2,2,4,3,2,4,4,4,3,1,1,4,5,5,3,2,2,3,2,4,2,3,4,3,2,2,2,2
回答者925,2,27,2,2,9,9,37,6,37,6,2,4,4,3,2,2,2,4,5,3,4,5,4,3,4,3,2,4,3,2,2,2,4,3,2,3,3,2
回答者926,2,29,2,2,9,9,34,6,34,6,3,1,1,1,1,3,2,4,2,5,8,1,2,3,7,1,2,2,2,2,2,1,1,3,2,2,4,5
回答者927,1,28,2,2,9,9,37,6,33,6,4,4,3,3,4,4,3,4,3,3,4,2,5,5,6,3,2,3,3,3,4,2,2,3,3,4,3,3
回答者928,1,33,3,2,9,9,34,6,34,6,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1
回答者929,2,30,3,2,9,9,38,6,38,6,3,3,3,3,3,3,3,1,3,4,1,3,5,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3
回答者930,1,34,3,2,9,9,34,6,34,6,2,3,3,2,3,2,4,4,4,3,1,1,5,4,2,2,2,3,3,2,2,3,3,2,3,3,3,2
回答者931,2,33,3,2,9,9,34,6,34,6,3,3,3,3,3,3,2,1,3,4,1,1,3,2,6,3,4,5,5,5,1,3,3,3,5,5,5,3
回答者932,2,30,3,2,9,9,34,6,34,6,2,2,2,2,2,2,3,3,3,3,4,4,5,4,3,2,3,2,2,3,2,2,2,3,2,2,3,2
回答者933,1,33,3,2,9,9,34,6,34,6,3,3,4,3,3,3,3,3,3,2,1,2,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3
回答者934,1,39,4,2,9,9,37,6,37,6,1,1,5,4,3,2,4,3,2,4,5,4,5,5,7,2,2,3,2,3,3,2,2,3,2,3,2,2
回答者935,1,39,4,2,9,9,37,6,37,6,2,2,3,2,2,2,2,3,2,4,2,2,5,5,2,3,2,1,2,2,2,1,1,2,3,2,2,2
回答者936,1,36,4,2,9,9,33,6,34,6,4,4,3,2,4,3,2,3,4,4,4,2,4,3,6,2,2,2,4,4,2,3,4,3,2,3,4,3
回答者937,2,38,4,2,9,9,34,6,34,6,4,4,3,4,3,4,4,4,2,4,4,3,5,3,6,3,3,4,3,4,2,2,3,2,2,2,4,3
回答者938,1,43,5,2,9,9,35,6,34,6,3,2,3,3,4,4,2,3,4,3,4,3,4,3,3,2,3,4,3,3,4,2,3,3,4,2,3,3
回答者939,2,41,5,2,9,9,34,6,34,6,2,3,4,2,2,4,2,3,2,2,3,4,5,4,4,2,2,3,3,4,2,2,5,2,4,2,3,3
回答者940,1,42,5,2,9,9,33,6,33,6,1,5,5,2,1,5,3,3,5,3,4,2,3,3,2,3,5,3,1,1,5,3,3,3,3,3,3,3
回答者941,1,43,5,2,9,9,34,6,34,6,3,3,3,4,3,3,3,4,3,3,8,3,4,3,6,3,3,4,3,3,3,3,3,3,3,3,3,3
回答者942,1,49,6,2,9,9,34,6,34,6,1,4,5,5,2,4,5,1,3,1,1,2,5,5,2,2,2,4,4,3,1,2,2,4,4,3,4,4
回答者943,1,45,6,2,9,9,37,6,37,6,2,2,2,3,5,5,3,4,2,1,8,3,4,5,2,2,2,2,3,2,3,2,2,2,1,2,3,1
回答者944,1,45,6,2,9,9,34,6,34,6,1,2,1,2,2,2,2,3,2,2,4,3,5,5,6,2,2,4,2,3,2,3,2,2,3,2,3,3
回答者945,1,47,6,2,9,9,34,6,34,6,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1
回答者946,1,45,6,2,9,9,37,6,37,6,4,4,4,4,4,4,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者947,1,53,7,2,9,9,34,6,34,6,3,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2,2,2,2,3
回答者948,2,53,7,2,9,9,35,6,35,6,4,3,2,2,3,4,2,1,2,2,4,2,1,2,3,4,4,2,4,4,2,5,4,5,4,4,4,3
回答者949,2,56,8,2,9,9,34,6,34,6,4,3,2,3,3,5,2,2,3,2,2,2,2,2,1,4,3,4,3,4,4,1,2,1,2,4,3,3
回答者950,1,59,8,2,9,9,35,6,35,6,3,3,3,4,4,5,3,4,3,2,4,3,5,5,6,4,3,3,3,3,3,3,3,4,3,4,3,3
回答者951,2,55,8,2,9,9,37,6,37,6,3,3,3,2,3,2,3,2,3,2,4,3,2,3,3,3,3,2,3,3,2,4,3,3,3,3,3,3
回答者952,1,58,8,2,9,9,34,6,34,6,2,3,3,4,5,5,4,4,4,3,8,5,5,5,4,3,3,3,3,3,3,3,4,3,3,3,5,3
回答者953,1,56,8,2,9,9,33,6,33,6,4,4,2,4,4,5,4,4,4,2,7,5,5,4,2,2,3,2,2,2,2,3,3,4,2,2,3,3
回答者954,1,57,8,2,9,9,35,6,35,6,3,4,3,3,4,3,3,1,4,2,8,2,4,3,4,3,4,3,4,5,3,3,4,4,5,5,5,2
回答者955,1,62,9,2,9,9,37,6,37,6,2,2,3,2,3,4,2,1,4,2,8,3,4,3,3,2,3,3,3,4,2,3,3,4,3,3,3,3
回答者956,1,63,9,2,9,9,37,6,37,6,2,3,5,3,5,5,5,4,5,3,8,5,5,5,7,3,3,3,3,3,4,3,3,3,3,3,3,3
回答者957,1,63,9,2,9,9,38,6,38,6,1,2,2,3,1,5,2,1,4,1,2,4,5,2,4,2,2,1,3,3,2,2,2,3,2,1,4,3
回答者958,1,63,9,2,9,9,35,6,35,6,3,3,2,2,1,2,2,2,3,3,2,3,2,2,2,3,2,3,2,3,3,3,3,2,3,3,2,2
回答者959,1,61,9,2,9,9,33,6,33,6,2,1,2,2,2,3,3,3,3,3,3,2,2,4,2,3,2,3,3,3,3,2,2,3,3,2,2,3
回答者960,1,64,9,2,9,9,32,6,32,6,3,4,3,2,3,3,3,3,3,3,4,3,2,2,4,3,3,2,3,4,3,3,2,3,3,3,4,3
回答者961,1,63,9,2,9,9,37,6,37,6,1,1,1,1,1,1,5,2,5,3,8,5,5,5,7,5,5,5,5,4,4,4,5,5,5,5,5,5
回答者962,1,27,2,2,9,9,43,7,43,7,3,3,3,3,3,4,3,4,3,3,4,3,2,2,2,3,3,4,3,4,3,3,3,3,3,3,3,3
回答者963,2,29,2,2,9,9,46,7,46,7,2,4,3,1,4,5,3,1,4,1,8,2,3,4,3,3,4,2,4,4,3,2,2,3,3,3,4,3
回答者964,1,27,2,2,9,9,42,7,42,7,5,2,4,3,4,3,3,2,3,3,4,3,3,3,2,3,2,1,3,3,2,3,4,3,2,4,3,2
回答者965,1,28,2,2,9,9,47,7,47,7,2,2,3,3,3,2,3,3,3,4,4,2,4,2,3,3,2,4,2,3,2,3,3,3,2,2,4,3
回答者966,2,33,3,2,9,9,42,7,42,7,1,2,2,1,2,2,1,2,3,4,4,1,2,2,2,2,1,2,2,1,1,3,2,1,1,2,3,2
回答者967,2,34,3,2,9,9,40,7,40,7,2,4,4,4,4,4,2,3,5,4,4,4,5,5,6,2,2,2,2,2,2,1,2,2,3,2,3,3
回答者968,2,33,3,2,9,9,40,7,40,7,5,5,5,1,5,5,4,1,5,5,8,1,1,2,6,5,5,5,5,5,5,1,5,5,5,5,5,5
回答者969,1,30,3,2,9,9,42,7,42,7,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3
回答者970,1,34,3,2,9,9,47,7,47,7,2,3,2,3,2,3,2,1,1,1,2,2,5,5,2,2,2,3,2,2,2,3,2,2,2,3,2,2
回答者971,1,33,3,2,9,9,40,7,40,7,2,3,4,3,3,3,3,2,4,3,4,2,3,2,3,3,4,4,4,4,2,5,3,4,4,5,5,3
回答者972,2,38,4,2,9,9,40,7,40,7,4,4,2,3,3,3,4,4,3,5,4,3,5,3,7,2,3,3,3,3,3,4,3,3,3,2,2,3
回答者973,1,36,4,2,9,9,47,7,47,7,3,4,4,4,4,4,4,4,4,3,4,3,5,4,3,3,2,2,3,4,3,3,3,3,3,2,2,3
回答者974,1,39,4,2,9,9,40,7,40,7,5,5,5,5,5,5,1,1,3,2,4,1,5,2,4,3,3,3,3,3,3,3,4,4,2,3,3,2
回答者975,1,35,4,2,9,9,40,7,40,7,3,2,5,3,5,5,3,1,3,2,4,2,4,2,2,2,2,3,2,2,4,2,3,2,4,3,5,5
回答者976,2,38,4,2,9,9,45,7,45,7,2,3,5,5,5,5,3,4,2,1,8,1,5,5,7,3,2,1,1,1,3,3,3,3,5,3,5,1
回答者977,2,36,4,2,9,9,40,7,40,7,2,4,4,3,2,5,3,4,3,3,4,3,5,4,6,2,3,3,3,3,2,3,2,4,2,2,3,3
回答者978,1,39,4,2,9,9,41,7,41,7,4,3,4,4,4,3,4,4,5,4,2,5,5,5,5,4,3,3,4,4,3,2,3,5,3,3,3,3
回答者979,1,43,5,2,9,9,42,7,42,7,3,2,2,3,4,3,2,2,2,2,2,2,3,3,2,2,3,3,4,3,3,2,3,2,3,4,4,2
回答者980,2,42,5,2,9,9,44,7,44,7,2,2,2,1,3,5,3,4,5,3,1,5,5,5,2,2,1,3,2,3,1,2,3,2,1,1,4,5
回答者981,1,43,5,2,9,9,46,7,46,7,5,5,5,5,5,5,5,4,5,5,8,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者982,2,41,5,2,9,9,45,7,45,7,2,5,3,1,2,1,2,1,5,2,5,1,3,3,7,2,3,3,3,3,2,2,3,4,3,4,5,3
回答者983,2,44,5,2,9,9,40,7,40,7,5,2,4,4,4,4,5,1,5,1,4,3,5,2,4,3,4,5,5,5,2,4,4,4,5,2,5,5
回答者984,1,40,5,2,9,9,42,7,42,7,2,2,3,2,1,2,2,2,3,3,3,1,3,2,2,2,2,2,3,3,3,2,2,2,3,2,3,3
回答者985,1,46,6,2,9,9,43,7,43,7,2,3,5,1,1,4,2,3,4,1,1,2,3,2,6,2,1,4,2,3,4,5,4,5,5,2,2,5
回答者986,2,45,6,2,9,9,43,7,43,7,3,3,4,2,4,3,3,3,2,2,8,2,4,3,3,3,3,2,2,2,3,2,3,3,4,3,3,2
回答者987,2,45,6,2,9,9,44,7,44,7,1,3,1,1,2,2,3,4,2,1,1,3,5,5,6,2,2,2,2,2,2,2,1,2,4,2,2,2
回答者988,1,45,6,2,9,9,46,7,46,7,3,3,3,3,3,3,3,4,3,3,8,3,4,4,4,2,3,3,3,3,2,3,3,3,3,3,3,3
回答者989,1,45,6,2,9,9,43,7,43,7,3,3,2,4,3,2,4,4,4,3,3,4,5,3,4,2,4,3,2,4,3,3,4,2,3,3,3,2
回答者990,1,53,7,2,9,9,43,7,43,7,3,4,2,2,3,3,2,2,2,2,2,2,3,3,2,1,3,2,3,4,3,2,3,3,3,4,4,4
回答者991,1,51,7,2,9,9,42,7,42,7,2,2,2,1,2,2,2,2,3,2,8,3,3,2,2,3,2,3,3,3,2,3,3,4,3,3,2,3
回答者992,1,53,7,2,9,9,47,7,47,7,3,3,3,3,3,4,3,4,3,3,4,3,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3
回答者993,1,52,7,2,9,9,40,7,40,7,3,2,3,3,3,3,4,3,5,5,8,3,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者994,1,50,7,2,9,9,41,7,41,7,2,2,2,2,2,2,1,1,1,1,1,1,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者995,1,58,8,2,9,9,40,7,40,7,2,2,2,2,3,2,3,1,3,2,4,3,2,3,6,2,3,3,2,3,2,4,3,2,2,3,4,2
回答者996,1,58,8,2,9,9,43,7,43,7,3,4,5,3,3,3,4,1,5,5,4,1,4,3,4,5,3,5,5,5,1,5,5,5,3,5,5,1
回答者997,1,55,8,2,9,9,41,7,40,7,3,5,3,5,4,4,3,3,3,3,4,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4
回答者998,1,63,9,2,9,9,45,7,45,7,4,5,5,3,3,3,3,1,5,1,1,1,5,5,3,2,2,4,3,5,1,3,3,3,3,2,2,3
回答者999,1,61,9,2,9,9,40,7,40,7,3,3,4,5,3,4,5,4,4,2,4,1,4,4,7,2,2,5,4,5,2,5,2,2,3,2,2,2
回答者1000,1,64,9,2,9,9,40,7,40,7,2,2,2,3,3,2,4,3,4,4,7,2,2,2,3,2,3,2,3,2,2,2,2,3,2,2,2,2
